TOP AAtaTatAAtAtaaTaTaTatAtAtATaTaT n=3 W0=A0.A0.a1.a0.A1.A1.A2.a3.a3.a2.a1.a0.A1.A2.A3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtaTatAtAtAATaTaTatAAtAtaTaTaT n=3 W0=A0.A0.a1.a0.A1.A2.A3.A3.a2.a1.a0.A1.A1.A2.a3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtaTatAtAtAATaTTatAtAtaTaTaT n=3 W0=A0.A0.a1.a0.A1.A2.A3.A3.a2.a0.A1.A2.a3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtaTatAtAtATaTaTatAAtAtaaTaTaT n=3 W0=A0.A0.a1.a0.A1.A2.A3.a2.a1.a0.A1.A1.A2.a3.a3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtaTatAtAtATaTTatAtAtaaTaTaT n=3 W0=A0.A0.a1.a0.A1.A2.A3.a2.a0.A1.A2.a3.a3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtaTatAtAtaTaTaTatAAtAtAATaTaT n=3 W0=A0.A0.a1.a0.A1.A2.a3.a2.a1.a0.A1.A1.A2.A3.A3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtaTatAtAtaTaTTatAtAtAATaTaT n=3 W0=A0.A0.a1.a0.A1.A2.a3.a2.a0.A1.A2.A3.A3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtaTatAtAtaaTaTaTatAAtAtATaTaT n=3 W0=A0.A0.a1.a0.A1.A2.a3.a3.a2.a1.a0.A1.A1.A2.A3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtaTatAtAtaaTaTTatAtAtATaTaT n=3 W0=A0.A0.a1.a0.A1.A2.a3.a3.a2.a0.A1.A2.A3.a2.a1 s=a0 h0=-1 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAttAtAATaTaTatATatAtAtaTaTaT n=3 W0=A0.A0.A2.A3.A3.a2.a1.a0.A1.a0.A1.A2.a3.a2.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAttAtATaTaTatATatAtAtaaTaTaT n=3 W0=A0.A0.A2.A3.a2.a1.a0.A1.a0.A1.A2.a3.a3.a2.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAttAtaTaTaTatATatAtAtAATaTaT n=3 W0=A0.A0.A2.a3.a2.a1.a0.A1.a0.A1.A2.A3.A3.a2.a1 s=a0 h0=-2 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
