40_40 394 R=6 short=4 certificate OK: 12 lemmas, 191 steps; Gamma^+ is not left-orderable
40_40 395 R=6 short=4 certificate OK: 31 lemmas, 324 steps; Gamma^+ is not left-orderable
40_40 396 R=6 short=4 certificate OK: 6 lemmas, 61 steps; Gamma^+ is not left-orderable
40_40 397 R=6 short=4 certificate OK: 8 lemmas, 78 steps; Gamma^+ is not left-orderable
40_40 398 R=6 short=4 certificate OK: 9 lemmas, 47 steps; Gamma^+ is not left-orderable
40_40 399 R=6 short=4 certificate OK: 20 lemmas, 222 steps; Gamma^+ is not left-orderable
40_40 400 R=6 short=4 certificate OK: 12 lemmas, 191 steps; Gamma^+ is not left-orderable
40_40 401 R=6 short=4 certificate OK: 4 lemmas, 52 steps; Gamma^+ is not left-orderable
40_40 402 R=6 short=4 certificate OK: 4 lemmas, 52 steps; Gamma^+ is not left-orderable
40_40 403 R=6 short=4 certificate OK: 24 lemmas, 357 steps; Gamma^+ is not left-orderable
40_40 404 R=6 short=4 certificate OK: 6 lemmas, 61 steps; Gamma^+ is not left-orderable
40_40 409 R=6 short=4 certificate OK: 41 lemmas, 590 steps; Gamma^+ is not left-orderable
40_40 414 R=6 short=4 certificate OK: 12 lemmas, 223 steps; Gamma^+ is not left-orderable
40_40 421 R=6 short=4 certificate OK: 16 lemmas, 173 steps; Gamma^+ is not left-orderable
40_40 424 R=6 short=4 certificate OK: 12 lemmas, 222 steps; Gamma^+ is not left-orderable
40_40 432 R=6 short=4 certificate OK: 8 lemmas, 74 steps; Gamma^+ is not left-orderable
40_40 433 R=6 short=4 certificate OK: 15 lemmas, 158 steps; Gamma^+ is not left-orderable
40_40 434 R=6 short=4 certificate OK: 6 lemmas, 70 steps; Gamma^+ is not left-orderable
40_40 435 R=6 short=4 certificate OK: 15 lemmas, 158 steps; Gamma^+ is not left-orderable
40_40 436 R=6 short=4 certificate OK: 8 lemmas, 74 steps; Gamma^+ is not left-orderable
40_40 443 R=6 short=4 certificate OK: 23 lemmas, 363 steps; Gamma^+ is not left-orderable
40_40 445 R=6 short=4 certificate OK: 23 lemmas, 363 steps; Gamma^+ is not left-orderable
40_40 446 R=6 short=4 certificate OK: 4 lemmas, 37 steps; Gamma^+ is not left-orderable
40_40 447 R=6 short=4 certificate OK: 4 lemmas, 37 steps; Gamma^+ is not left-orderable
40_40 467 R=6 short=4 certificate OK: 23 lemmas, 452 steps; Gamma^+ is not left-orderable
40_40 471 R=6 short=4 certificate OK: 23 lemmas, 452 steps; Gamma^+ is not left-orderable
40_40 476 R=6 short=4 certificate OK: 26 lemmas, 460 steps; Gamma^+ is not left-orderable
40_40 487 R=6 short=4 certificate OK: 15 lemmas, 179 steps; Gamma^+ is not left-orderable
40_40 488 R=6 short=4 certificate OK: 26 lemmas, 383 steps; Gamma^+ is not left-orderable
40_40 489 R=6 short=4 certificate OK: 9 lemmas, 158 steps; Gamma^+ is not left-orderable
40_40 490 R=6 short=4 certificate OK: 12 lemmas, 191 steps; Gamma^+ is not left-orderable
40_40 491 R=6 short=4 certificate OK: 7 lemmas, 36 steps; Gamma^+ is not left-orderable
40_40 492 R=6 short=4 certificate OK: 4 lemmas, 53 steps; Gamma^+ is not left-orderable
40_40 495 R=6 short=4 certificate OK: 17 lemmas, 174 steps; Gamma^+ is not left-orderable
40_40 497 R=6 short=4 certificate OK: 12 lemmas, 191 steps; Gamma^+ is not left-orderable
40_40 498 R=6 short=4 certificate OK: 5 lemmas, 78 steps; Gamma^+ is not left-orderable
40_40 500 R=6 short=4 certificate OK: 13 lemmas, 196 steps; Gamma^+ is not left-orderable
40_40 503 R=6 short=4 certificate OK: 15 lemmas, 172 steps; Gamma^+ is not left-orderable
40_40 506 R=6 short=4 certificate OK: 4 lemmas, 53 steps; Gamma^+ is not left-orderable
40_40 508 R=6 short=4 certificate OK: 14 lemmas, 203 steps; Gamma^+ is not left-orderable
40_40 509 R=6 short=4 certificate OK: 15 lemmas, 172 steps; Gamma^+ is not left-orderable
40_40 510 R=6 short=4 certificate OK: 7 lemmas, 91 steps; Gamma^+ is not left-orderable
40_40 512 R=6 short=4 certificate OK: 16 lemmas, 168 steps; Gamma^+ is not left-orderable
40_40 517 R=6 short=4 certificate OK: 23 lemmas, 251 steps; Gamma^+ is not left-orderable
40_40 519 R=6 short=4 certificate OK: 23 lemmas, 251 steps; Gamma^+ is not left-orderable
40_40 531 R=6 short=4 certificate OK: 9 lemmas, 158 steps; Gamma^+ is not left-orderable
40_40 546 R=6 short=4 certificate OK: 36 lemmas, 599 steps; Gamma^+ is not left-orderable
40_40 551 R=6 short=4 certificate OK: 11 lemmas, 107 steps; Gamma^+ is not left-orderable
