193 pi_s=a E pi_t=a e s|0=E s a t|0=A t E s|3=t | undecided
195 pi_s=a E pi_t=a e s|0=E s a t|0=E t E s|3=t | undecided
197 pi_s=a E pi_t=a e s|0=E s e t|0=A t E s|3=t | undecided
199 pi_s=a E pi_t=a e s|0=E s e t|0=E t E s|3=t | undecided
200 pi_s=a E pi_t=e a s|0=A s a t|0=A t A s|3=t | undecided
203 pi_s=a E pi_t=e a s|0=A s a t|0=E t E s|3=t | infinite ord(SSTSt)=inf ('a E t E E t E', 8, 'a E t E E t E')
204 pi_s=a E pi_t=e a s|0=A s e t|0=A t A s|3=t | undecided
207 pi_s=a E pi_t=e a s|0=A s e t|0=E t E s|3=t | undecided
208 pi_s=a E pi_t=e a s|0=E s a t|0=A t A s|3=t | undecided
212 pi_s=a E pi_t=e a s|0=E s e t|0=A t A s|3=t | undecided
217 pi_s=a E pi_t=a a s|0=A s a t|0=A t E s|3=t | infinite ord(SStST)=inf ('A t E A t E t E', 5, 'A t E A t E t E')
218 pi_s=a E pi_t=a a s|0=A s a t|0=E t A s|3=t | undecided
219 pi_s=a E pi_t=a a s|0=A s a t|0=E t E s|3=t | infinite ord(SSSSSt)=inf ('a a E t E E t E', 11, 'a a E t E E t E')
221 pi_s=a E pi_t=a a s|0=A s e t|0=A t E s|3=t | undecided
222 pi_s=a E pi_t=a a s|0=A s e t|0=E t A s|3=t | undecided
226 pi_s=a E pi_t=a a s|0=E s a t|0=E t A s|3=t | undecided
230 pi_s=a E pi_t=a a s|0=E s e t|0=E t A s|3=t | undecided
231 pi_s=a E pi_t=a a s|0=E s e t|0=E t E s|3=t | infinite ord(SSStt)=inf ('a a E t E E t E', 11, 'a a E t E E t E')
233 pi_s=a E pi_t=e e s|0=A s a t|0=A t E s|3=t | undecided
234 pi_s=a E pi_t=e e s|0=A s a t|0=E t A s|3=t | infinite ord(SStST)=inf ('A E t E t', 8, 'A E t E t')
235 pi_s=a E pi_t=e e s|0=A s a t|0=E t E s|3=t | undecided
236 pi_s=a E pi_t=e e s|0=A s e t|0=A t A s|3=t | undecided
237 pi_s=a E pi_t=e e s|0=A s e t|0=A t E s|3=t | undecided
238 pi_s=a E pi_t=e e s|0=A s e t|0=E t A s|3=t | undecided
239 pi_s=a E pi_t=e e s|0=A s e t|0=E t E s|3=t | undecided
241 pi_s=a E pi_t=e e s|0=E s a t|0=A t E s|3=t | undecided
242 pi_s=a E pi_t=e e s|0=E s a t|0=E t A s|3=t | infinite ord(SSSST)=inf ('A E t E t', 8, 'A E t E t')
243 pi_s=a E pi_t=e e s|0=E s a t|0=E t E s|3=t | undecided
245 pi_s=a E pi_t=e e s|0=E s e t|0=A t E s|3=t | undecided
246 pi_s=a E pi_t=e e s|0=E s e t|0=E t A s|3=t | infinite ord(SSTST)=inf ('A E t E t', 8, 'A E t E t')
247 pi_s=a E pi_t=e e s|0=E s e t|0=E t E s|3=t | undecided
249 pi_s=e a pi_t=a s|0=A s A t|0=E t s|3=t | undecided
253 pi_s=e a pi_t=a s|0=E s A t|0=E t s|3=t | undecided
