===== slice 0 of 16 (k5lane.sh 16 0; log k5_n16_s0.log)
solves 28000 closed 19386 stack 251 minval 7.286565 t 489
solves 34000 closed 23553 stack 146 minval 7.286565 t 621
solves 36000 closed 24951 stack 82 minval 7.286565 t 672
solves 40000 closed 27707 stack 23 minval 7.286565 t 778
n16s3 m=5 first phase in [0.294524,0.392699]: ALL CLOSED  boxes 28990 (reused parent Z 15398)  solves 41853  min center value 7.286565 at [0.3763, 5.1051, 0.9163, 6.1523, 1.4399, 1.1781]  smallest half-width 1.31e-01  time 827s
===== slice 10 of 16 (k5lane.sh 16 10; log k5_n16_s10.log)
solves 8000 closed 5601 stack 570 minval 7.287224 t 143
solves 10000 closed 7012 stack 540 minval 7.287224 t 175
solves 12000 closed 8402 stack 513 minval 7.287224 t 214
solves 14000 closed 9812 stack 496 minval 7.287224 t 257
solves 16000 closed 11211 stack 486 minval 7.277598 t 287
solves 20000 closed 14031 stack 407 minval 7.277598 t 351
solves 22000 closed 15434 stack 348 minval 7.277598 t 381
solves 24000 closed 16848 stack 312 minval 7.277598 t 414
solves 26000 closed 18245 stack 280 minval 7.277598 t 451
solves 28000 closed 19649 stack 258 minval 7.277598 t 498
solves 30000 closed 21038 stack 248 minval 7.277598 t 542
solves 32000 closed 22435 stack 224 minval 7.277598 t 588
solves 36000 closed 25243 stack 137 minval 7.277598 t 682
solves 40000 closed 28061 stack 54 minval 7.277598 t 785
n16s10 m=5 first phase in [0.981748,1.079922]: ALL CLOSED  boxes 31562 (reused parent Z 17401)  solves 44994  min center value 7.277598 at [1.0308, 5.6287, 5.3669, 6.0214, 4.9742, 4.9742]  smallest half-width 2.62e-01  time 913s
===== slice 4 of 16 (k5lane.sh 16 4; log k5_n16_s4.log)
solves 2000 closed 1375 stack 707 minval 7.392999 t 53
solves 8000 closed 5537 stack 571 minval 7.311729 t 202
solves 12000 closed 8299 stack 512 minval 7.272204 t 312
solves 14000 closed 9679 stack 492 minval 7.272204 t 368
solves 16000 closed 11060 stack 466 minval 7.272204 t 422
solves 18000 closed 12446 stack 428 minval 7.272204 t 473
solves 22000 closed 15219 stack 327 minval 7.272204 t 608
solves 24000 closed 16616 stack 301 minval 7.272204 t 678
solves 26000 closed 17984 stack 267 minval 7.272204 t 749
solves 30000 closed 20740 stack 224 minval 7.272204 t 896
solves 32000 closed 22127 stack 186 minval 7.272204 t 972
solves 34000 closed 23507 stack 144 minval 7.272204 t 1046
solves 36000 closed 24903 stack 82 minval 7.272204 t 1126
resumed 81 boxes on stack
solves 40000 closed 27667 stack 24 minval 7.272204 t 1283
n16s4 m=5 first phase in [0.392699,0.490874]: ALL CLOSED  boxes 29032 (reused parent Z 15359)  solves 41976  min center value 7.272204 at [0.4745, 1.1781, 1.309, 5.6287, 1.309, 0.7854]  smallest half-width 1.31e-01  time 1361s
===== slice 5 of 16 (k5lane.sh 16 5; log k5_n16_s5.log)
solves 4000 closed 2784 stack 672 minval 7.295378 t 159
