TOP AAAtAtaaTatATTaattATT n=2 W0=A0.A0.A0.A1.a2.a2.a1.A2.a0.a0.A2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTatAtAATTaattaTT n=2 W0=A0.A0.A0.a1.a0.A1.A2.A2.a0.a0.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTatAtATTaattaaTT n=2 W0=A0.A0.A0.a1.a0.A1.A2.a0.a0.a2.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTatAtaTTaattAATT n=2 W0=A0.A0.A0.a1.a0.A1.a2.a0.a0.A2.A2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTatAtaaTTaattATT n=2 W0=A0.A0.A0.a1.a0.A1.a2.a2.a0.a0.A2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTattAATTaatAtaTT n=2 W0=A0.A0.A0.a1.a0.A2.A2.a0.a0.A1.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTattAATATaattaTT n=2 W0=A0.A0.A0.a1.a0.A2.A2.A1.a0.a0.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTattATTaatAtaaTT n=2 W0=A0.A0.A0.a1.a0.A2.a0.a0.A1.a2.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTattATATaattaaTT n=2 W0=A0.A0.A0.a1.a0.A2.A1.a0.a0.a2.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTattaTTaatAtAATT n=2 W0=A0.A0.A0.a1.a0.a2.a0.a0.A1.A2.A2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTattaTATaattAATT n=2 W0=A0.A0.A0.a1.a0.a2.A1.a0.a0.A2.A2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTattaaTTaatAtATT n=2 W0=A0.A0.A0.a1.a0.a2.a2.a0.a0.A1.A2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTattaaTATaattATT n=2 W0=A0.A0.A0.a1.a0.a2.a2.A1.a0.a0.A2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTaatAtAATTattaTT n=2 W0=A0.A0.A0.a1.a0.a0.A1.A2.A2.a0.a2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTaatAtATTattaaTT n=2 W0=A0.A0.A0.a1.a0.a0.A1.A2.a0.a2.a2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTaatAtaTTattAATT n=2 W0=A0.A0.A0.a1.a0.a0.A1.a2.a0.A2.A2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTaatAtaaTTattATT n=2 W0=A0.A0.A0.a1.a0.a0.A1.a2.a2.a0.A2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTaattAATTatAtaTT n=2 W0=A0.A0.A0.a1.a0.a0.A2.A2.a0.A1.a2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTaattAATATattaTT n=2 W0=A0.A0.A0.a1.a0.a0.A2.A2.A1.a0.a2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTaattATTatAtaaTT n=2 W0=A0.A0.A0.a1.a0.a0.A2.a0.A1.a2.a2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTaattATATattaaTT n=2 W0=A0.A0.A0.a1.a0.a0.A2.A1.a0.a2.a2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTaattaTTatAtAATT n=2 W0=A0.A0.A0.a1.a0.a0.a2.a0.A1.A2.A2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTaattaTATattAATT n=2 W0=A0.A0.A0.a1.a0.a0.a2.A1.a0.A2.A2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTaattaaTTatAtATT n=2 W0=A0.A0.A0.a1.a0.a0.a2.a2.a0.A1.A2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtaTaattaaTATattATT n=2 W0=A0.A0.A0.a1.a0.a0.a2.a2.A1.a0.A2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtatAATTatATaattaTT n=2 W0=A0.A0.A0.a1.A2.A2.a0.A1.a0.a0.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtatAATTaatATattaTT n=2 W0=A0.A0.A0.a1.A2.A2.a0.a0.A1.a0.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtatAATTaattaTAtaTT n=2 W0=A0.A0.A0.a1.A2.A2.a0.a0.a2.A1.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtatAATAtaTTaattaTT n=2 W0=A0.A0.A0.a1.A2.A2.A1.a2.a0.a0.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtatATTatATaattaaTT n=2 W0=A0.A0.A0.a1.A2.a0.A1.a0.a0.a2.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtatATTaatATattaaTT n=2 W0=A0.A0.A0.a1.A2.a0.a0.A1.a0.a2.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
