GroupApproximation.Full.SK14.isResiduallyFinite_of_isFinitelyPresented_of_isLEF	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.FinitelyPresented.Basic	theorem	0	0	0
GroupApproximation.Full.SK14.manuscriptSentence_soficExampleNotLEF_answersAlekseevThom	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.FinitelyPresented.Basic	theorem	0	0	0
GroupApproximation.Full.SK14.not_isFinitelyPresented_general	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.FinitelyPresented.Endpoints	theorem	0	0	0
GroupApproximation.Full.SK14.printedGeneralNotFinitelyPresented	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.FinitelyPresented.Endpoints	theorem	0	1	0
GroupApproximation.Full.SKRoot.cor_host	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	theorem	0	0	1
GroupApproximation.Full.SKRoot.cor_wp	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	theorem	0	0	1
GroupApproximation.Full.SKRoot.cor_wp_proof	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	theorem	0	0	1
GroupApproximation.Full.SKRoot.lem_halfline	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	theorem	0	0	1
GroupApproximation.Full.SKRoot.lem_host	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	theorem	0	0	1
GroupApproximation.Full.SKRoot.lem_nn	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	theorem	0	0	1
GroupApproximation.Full.SKRoot.sec_questions	GroupApproximation.Manuscript.SimpleKazhdanSofic.Full.Root.Corollaries	theorem	0	0	1
GroupApproximation.LevelShiftDelta.commutator_levelShift_levelMul	GroupApproximation.GroupTheory.LevelShiftDelta	theorem	0	3	0
GroupApproximation.LevelShiftDelta.exists_levelZeroEmbedding	GroupApproximation.GroupTheory.LevelShiftDelta	theorem	0	5	0
GroupApproximation.LevelShiftDelta.hLetters	GroupApproximation.GroupTheory.LevelShiftDeltaWords	def	0	2	0
GroupApproximation.LevelShiftDelta.infinite_levelDelta	GroupApproximation.GroupTheory.LevelShiftDelta	theorem	0	5	0
GroupApproximation.LevelShiftDelta.isLevelForm_gValue	GroupApproximation.GroupTheory.LevelShiftDeltaWords	theorem	0	2	0
GroupApproximation.LevelShiftDelta.levelDelta	GroupApproximation.GroupTheory.LevelShiftDelta	def	0	4	0
