GroupApproximation.SimpleKazhdanSofic.ContinuedFractionOracle.charOracle_turingReducible_slopeOracle	GroupApproximation.Manuscript.SimpleKazhdanSofic.ContinuedFractionDigitOracle	200
GroupApproximation.SimpleKazhdanSofic.ContinuedFractionOracle.slopeOracle_turingReducible_charOracle	GroupApproximation.Manuscript.SimpleKazhdanSofic.ContinuedFractionCutOracle	229
GroupApproximation.SimpleKazhdanSofic.countable_restrictedSum	GroupApproximation.Manuscript.SimpleKazhdanSofic.LEFRestrictedSum	95
GroupApproximation.SimpleKazhdanSofic.HalflineA.manuscriptSentence_halflineEmbedding	GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineA.Embedding	42
GroupApproximation.SimpleKazhdanSofic.HalflineA.manuscriptSentence_halflineLevelNormalForm	GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineA.Embedding	90
GroupApproximation.SimpleKazhdanSofic.HalflineA.turingReducible_wordProblemOracle_levelGen	GroupApproximation.Manuscript.SimpleKazhdanSofic.HalflineA.WordProblemReduction	110
GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_commutatorContainment	GroupApproximation.Manuscript.SimpleKazhdanSofic.Host.Setup	100
GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_countableFGSubgroups	GroupApproximation.Manuscript.SimpleKazhdanSofic.Host.Assembly	194
GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_countableLEFSubgroupOfHost	GroupApproximation.Manuscript.SimpleKazhdanSofic.Host.Assembly	177
GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_generalTheoremApplies	GroupApproximation.Manuscript.SimpleKazhdanSofic.Host.Assembly	63
GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_hostLemma	GroupApproximation.Manuscript.SimpleKazhdanSofic.Host.Assembly	110
GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_lambdaGenerationDenseOrbits	GroupApproximation.Manuscript.SimpleKazhdanSofic.Host.Setup	62
GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_markedLimitsLEF	GroupApproximation.Manuscript.SimpleKazhdanSofic.Host.Assembly	166
GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_modelGeneratorsGenerate	GroupApproximation.Manuscript.SimpleKazhdanSofic.Host.Models	139
GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_modelMapAsymptoticHom	GroupApproximation.Manuscript.SimpleKazhdanSofic.Host.Models	104
GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_recursivelyPresentedHost	GroupApproximation.Manuscript.SimpleKazhdanSofic.Host.Assembly	205
GroupApproximation.SimpleKazhdanSofic.Host.manuscriptSentence_ringGenerators	GroupApproximation.Manuscript.SimpleKazhdanSofic.Host.Setup	83
GroupApproximation.SimpleKazhdanSofic.isLEF_restrictedSum	GroupApproximation.Manuscript.SimpleKazhdanSofic.LEFRestrictedSum	109
GroupApproximation.SimpleKazhdanSofic.IsTopologicallyFreeAction	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterAction	45
GroupApproximation.SimpleKazhdanSofic.Lamplighter.BallModelSequence	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterModelSequence	215
GroupApproximation.SimpleKazhdanSofic.Lamplighter.eventually_modelPerm_mul_modelDiag	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterModelMatrices	79
GroupApproximation.SimpleKazhdanSofic.Lamplighter.eventually_modelPerm_mul_modelDiag_mul_inv	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterModelMatrices	100
GroupApproximation.SimpleKazhdanSofic.Lamplighter.exists_commutator_embedding	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterHost	135
GroupApproximation.SimpleKazhdanSofic.Lamplighter.exists_isBallModel	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterModelSequence	169
GroupApproximation.SimpleKazhdanSofic.Lamplighter.exists_moved_of_cylinder	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterAction	263
GroupApproximation.SimpleKazhdanSofic.Lamplighter.IsBallModel	GroupApproximation.Manuscript.SimpleKazhdanSofic.LamplighterModelSequence	135
