OVERFLOW active=3001 total=3196
  TTaTaTaaTaTaat -> aaTaaTaaaaTaaTaaaaT
  TTaTaTaaTaTaaat -> aaTaaTaaaaTaaTaaaaaaT
  TTaTaTaaTaTaaaat -> aaTaaTaaaaTaaTaaaaaaaaT
  TTaTaTaaTaTaaaaat -> aaTaaTaaaaTaaTaaaaaaaaaaT
  TTaTaTaaTaaTat -> aaTaaTaaaaTaaaaTaaT
  TTaTaTaaTaaTaat -> aaTaaTaaaaTaaaaTaaaaT
  TTaTaTaaTaaTaaat -> aaTaaTaaaaTaaaaTaaaaaaT
  TTaTaTaaTaaTaaaat -> aaTaaTaaaaTaaaaTaaaaaaaaT
  TTaTaTaaTaaTaaaaat -> aaTaaTaaaaTaaaaTaaaaaaaaaaT
  TTaTaTaaTaaaTat -> aaTaaTaaaaTaaaaaaTaaT
  TTaTaTaaTaaaTaat -> aaTaaTaaaaTaaaaaaTaaaaT
  TTaTaTaaTaaaTaaat -> aaTaaTaaaaTaaaaaaTaaaaaaT
  TTaTaTaaTaaaTaaaat -> aaTaaTaaaaTaaaaaaTaaaaaaaaT
  TTaTaTaaTaaaTaaaaat -> aaTaaTaaaaTaaaaaaTaaaaaaaaaaT
  TTAt -> AAT
  TTATat -> AATaaT
  TTATaat -> AATaaaaT
  TTATaTat -> AATaaTaaT
  TTATaaat -> AATaaaaaaT
  TTATaaTat -> AATaaaaTaaT
  TTATaTaat -> AATaaTaaaaT
  TTATaTaTat -> AATaaTaaTaaT
  TTATaTaaat -> AATaaTaaaaaaT
  TTATaaTaat -> AATaaaaTaaaaT
  TTATaTaaTat -> AATaaTaaaaTaaT
  TTATaTaTaat -> AATaaTaaTaaaaT
  TTATaaTaaat -> AATaaaaTaaaaaaT
  TTATaTaTaTat -> AATaaTaaTaaTaaT
  TTATaTaTaaat -> AATaaTaaTaaaaaaT
  TTATaTaaTaat -> AATaaTaaaaTaaaaT
  TTATaTaTaaTat -> AATaaTaaTaaaaTaaT
  TTATaTaTaTaat -> AATaaTaaTaaTaaaaT
  TTATaTaaTaaat -> AATaaTaaaaTaaaaaaT
  TTATaTaTaaTaat -> AATaaTaaTaaaaTaaaaT
  TTATaTaTaTaaat -> AATaaTaaTaaTaaaaaaT
  TTATaTaTaaTaaat -> AATaaTaaTaaaaTaaaaaaT
  TTATaaTaTat -> AATaaaaTaaTaaT
  TTaaTaTaTat -> aaaaTaaTaaTaaT
  TTaaTaTaTaat -> aaaaTaaTaaTaaaaT
  TTaaTaTaTaaat -> aaaaTaaTaaTaaaaaaT
  TTaaTaTaTaaaat -> aaaaTaaTaaTaaaaaaaaT
  TTaaTaTaTaaaaat -> aaaaTaaTaaTaaaaaaaaaaT
  TTATaaTaTaat -> AATaaaaTaaTaaaaT
  TTaaTaTaaTat -> aaaaTaaTaaaaTaaT
  TTaaTaTaaTaat -> aaaaTaaTaaaaTaaaaT
  TTaaTaTaaTaaat -> aaaaTaaTaaaaTaaaaaaT
  TTaaTaTaaTaaaat -> aaaaTaaTaaaaTaaaaaaaaT
  TTaaTaTaaTaaaaat -> aaaaTaaTaaaaTaaaaaaaaaaT
  TTATaaTaTaaat -> AATaaaaTaaTaaaaaaT
  TTaaTaTaaaTat -> aaaaTaaTaaaaaaTaaT
  TTaaTaTaaaTaat -> aaaaTaaTaaaaaaTaaaaT
  TTaaTaTaaaTaaat -> aaaaTaaTaaaaaaTaaaaaaT
  TTaaTaTaaaTaaaat -> aaaaTaaTaaaaaaTaaaaaaaaT
  TTaaTaTaaaTaaaaat -> aaaaTaaTaaaaaaTaaaaaaaaaaT
  TTATaaaat -> AATaaaaaaaaT
  TTaaaaTat -> aaaaaaaaTaaT
  TTaaaaTaat -> aaaaaaaaTaaaaT
  TTaaaaTaaat -> aaaaaaaaTaaaaaaT
  TTaaaaTaaaat -> aaaaaaaaTaaaaaaaaT
  taaaaaaaaaaaaaaaaaaT -> Taaaaaaaaat
  TTaaaaTaaaaat -> aaaaaaaaTaaaaaaaaaaT
  TTATaTaaaat -> AATaaTaaaaaaaaT
  TTaTaaaaTat -> aaTaaaaaaaaTaaT
  TTaTaaaaTaat -> aaTaaaaaaaaTaaaaT
  TTaTaaaaTaaat -> aaTaaaaaaaaTaaaaaaT
  TTaTaaaaTaaaat -> aaTaaaaaaaaTaaaaaaaaT
  TTaTaaaaTaaaaat -> aaTaaaaaaaaTaaaaaaaaaaT
  TTATaaTaaaat -> AATaaaaTaaaaaaaaT
  TTaaTaaaaTat -> aaaaTaaaaaaaaTaaT
  TTaaTaaaaTaat -> aaaaTaaaaaaaaTaaaaT
  TTaaTaaaaTaaat -> aaaaTaaaaaaaaTaaaaaaT
  TTaaTaaaaTaaaat -> aaaaTaaaaaaaaTaaaaaaaaT
  TTaaTaaaaTaaaaat -> aaaaTaaaaaaaaTaaaaaaaaaaT
  TTaaaaaat -> aaaaaaaaaaaaT
  TTaTaaaaaat -> aaTaaaaaaaaaaaaT
  TTaaTaaaaaat -> aaaaTaaaaaaaaaaaaT
  TTaTaTaaaaaat -> aaTaaTaaaaaaaaaaaaT
  TTaaaTaaaaaat -> aaaaaaTaaaaaaaaaaaaT
  TTaaTaTaaaaaat -> aaaaTaaTaaaaaaaaaaaaT
  TTaTaaTaaaaaat -> aaTaaaaTaaaaaaaaaaaaT
  TTaaaaTaaaaaat -> aaaaaaaaTaaaaaaaaaaaaT
  taaaaaaaaaaaaaaaaaaaaT -> Taaaaaaaaaat
  TTaTaTaTaaaaaat -> aaTaaTaaTaaaaaaaaaaaaT
  TTaTaaaTaaaaaat -> aaTaaaaaaTaaaaaaaaaaaaT
  TTaaTaaTaaaaaat -> aaaaTaaaaTaaaaaaaaaaaaT
  taTAtaTATaaaaaat -> TatAtATAtaaaaaaaaaaaaaT
  TTaaTaTaTaaaaaat -> aaaaTaaTaaTaaaaaaaaaaaaT
  TTaTaaTaTaaaaaat -> aaTaaaaTaaTaaaaaaaaaaaaT
  TTaTaTaaTaaaaaat -> aaTaaTaaaaTaaaaaaaaaaaaT
  TTaTaaaaTaaaaaat -> aaTaaaaaaaaTaaaaaaaaaaaaT
  TTaaTaaaTaaaaaat -> aaaaTaaaaaaTaaaaaaaaaaaaT
  TTaTaTaTaTaaaaaat -> aaTaaTaaTaaTaaaaaaaaaaaaT
  TTaaTaTaaTaaaaaat -> aaaaTaaTaaaaTaaaaaaaaaaaaT
  TTaTaTaaaTaaaaaat -> aaTaaTaaaaaaTaaaaaaaaaaaaT
  TTaTaaTaaTaaaaaat -> aaTaaaaTaaaaTaaaaaaaaaaaaT
  TTaaTaaaaTaaaaaat -> aaaaTaaaaaaaaTaaaaaaaaaaaaT
  taTAtaTATaTaaaaaat -> TatAtATAtaaaTaaaaaaaaaaaaT
  TTaTaTaaTaTaaaaaat -> aaTaaTaaaaTaaTaaaaaaaaaaaaT
  TTaTaTaTaaTaaaaaat -> aaTaaTaaTaaaaTaaaaaaaaaaaaT
  TTaaTaTaaaTaaaaaat -> aaaaTaaTaaaaaaTaaaaaaaaaaaaT
  TTaTaaTaaaTaaaaaat -> aaTaaaaTaaaaaaTaaaaaaaaaaaaT
  taTAtaTATaaTaaaaaat -> TatAtATAtaaaaaTaaaaaaaaaaaaT
