OVERFLOW active=3001 total=3258
  TTaaatatattttA -> aaaaaataatatta
  TTaaatatattaTT -> aaaaaataataTTa
  ttaTTTTaaaatatt -> aaaaaaaattaTaa
  aaaaaataaaTAtaTAt -> TTaaataatAtATAta
  aattaTTTaaaaaataa -> ttaTTTTaTaaatatt
  aaaaaataataTAtaTAt -> TTaaatatatAtATAta
  ttaTAtaTATaaatatt -> atAtATATaaattataa
  TaatattaTaaaaaataa -> taaaataTTaTaaatatt
  TTaaataatAtATAtaaaT -> aaaaaataaaTAtaTATat
  TatatattaTaaaaaataa -> taataataTTaTaaatatt
  TTaaatatatAtATAtaaaT -> aaaaaataataTAtaTATat
  ttaTAtaTATaaaaatatt -> atAtATATaaaaattataa
  TaatAtATATaaatta -> taaaTAtaTATaaatt
  ttaTAtaTATaaatAtt -> atAtATATaaattatAA
  TatatAtATATaaatta -> taataTAtaTATaaatt
  taaaaaTAtaTATaaatt -> TaaatAtATATaaatta
  taataaaTAtaTATaaatt -> TataatAtATATaaatta
  taaaataTAtaTATaaatt -> TaatatAtATATaaatta
  taataataTAtaTATaaatt -> TatatatAtATATaaatta
  TTaaatatAtATATaaatta -> aaaaaataTAtaTATaaatt
  aaaaaataaaTAtaTATaaatt -> TTaaataatAtATATaaatta
  aaaaaaaataTAtaTATaaatt -> TTaaaatatAtATATaaatta
  TTaTaaaatAtATATaaatta -> aaTaTTaaatAtaTATaaatt
  ttaTAtaTATaaaatAtATAta -> atAtATATaaaatAtaTAt
  aaaaaataataTAtaTATaaatt -> TTaaatatatAtATATaaatta
  aaTaaaaaataTAtaTATaaatt -> TTaTaaatatAtATATaaatta
  ttaTAtaTATaaatatAtATAta -> atAtATATaaattataTAtaTAt
  ttaTAtaTATaaaatAtATATaaatta -> atAtATATaaaatAtaTATaaatt
  ttaTAtaTATaaatatAtATATaaatta -> atAtATATaaattataTAtaTATaaatt
  aaaaTaataTTaaat -> TTaaTataaattaT
  TataattaTaataaaa -> taataTTaaTataatt
  aTTaTTaaaTaataaaa -> ATTTTTTaaTataatt
  aaaattaTaaaaTaaaa -> ttaTTTTaaTataatt
  aaaaTaataTTaaaat -> TTaaTataaaattaT
  TataaattaTaataaaa -> taataTTaaaTataatt
  aaTaaTaataTTaaat -> TTaTaTataaattaT
  aTTaTTaTaaTaataaaa -> ATTTTTTaTaTataatt
  aattaTTTaaTaataaaa -> ttaTTTTaTaTataatt
  aaTaaTaataTTaaaat -> TTaTaTataaaattaT
  TaatattaTaaTaataaaa -> taaaataTTaTaTataatt
  TatatattaTaaTaataaaa -> taataataTTaTaTataatt
  TataatttAtATAtaaaTaaaaaa -> taataaattaTAtaTATaTaaatt
  aaTaaaataatAA -> TTaTaatatAtt
  TTaTaataattttA -> aaTaaaataaatta
  TTaTaatatAtttta -> aaTaaaataatAttA
  TTaTaatatattttA -> aaTaaaataatatta
  TTaTaatatattaTT -> aaTaaaataataTTa
  aaaattaTTTaaaataa -> ttaTTTTaaTaatatt
  aaTaaaataaaTAtaTAt -> TTaTaataatAtATAta
  TataaattaTaaaataa -> taataTTaaaTaatatt
  aattaTTTaaTaaaataa -> ttaTTTTaTaTaatatt
  taaaataTTaaTaatatt -> TaataattaTaaaataa
  aaTaaaataataTAtaTAt -> TTaTaatatatAtATAta
  taataataTTaaTaatatt -> TatataattaTaaaataa
  TaatattaTaaTaaaataa -> taaaataTTaTaTaatatt
  TTaTaataatAtATAtaaaT -> aaTaaaataaaTAtaTATat
  TatatattaTaaTaaaataa -> taataataTTaTaTaatatt
  ttAtAtATAtaaaTaaaataa -> AttttaTAtaTATaTaatatt
  TTaTaatatatAtATAtaaaT -> aaTaaaataataTAtaTATat
  aaTaaaataaaTAtaTATaaatt -> TTaTaataatAtATATaaatta
  aaTaaaataataTAtaTATaaatt -> TTaTaatatatAtATATaaatta
  TaaatttAtATAtaaaTaaaataa -> taaaaattaTAtaTATaTaatatt
  TataatttAtATAtaaaTaaaataa -> taataaattaTAtaTATaTaatatt
  TataattaTaaaataa -> taataTTaaTaatatt
  aTTaTTaaaTaaaataa -> ATTTTTTaaTaatatt
  aaaaTaaaataTTaaTat -> TTaaTaataattaTaaT
  aaaaTaaaataTTaaTaaatt -> TTaaTaataattaTaaaaaa
  aaaaTaaaataTTaaTaatatt -> TTaaTaataattaTaaaataa
  aTTaTTaTaaTaaaataa -> ATTTTTTaTaTaatatt
  aaTaaTaaaataTTaaTat -> TTaTaTaataattaTaaT
  aaTaaTaaaataTTaaTaaatt -> TTaTaTaataattaTaaaaaa
  aaTaaTaaaataTTaaTaatatt -> TTaTaTaataattaTaaaataa
  TaatatttAtATAtaaaTaaaaaa -> taaaatattaTAtaTATaTaaatt
  TaatatttAtATAtaaaTaaaataa -> taaaatattaTAtaTATaTaatatt
  TataattaTaataataa -> taataTTaaTatatatt
  aTTaTTaaaTaataataa -> ATTTTTTaaTatatatt
  aaaattaTaaaaTaataa -> ttaTTTTaaTatatatt
  aaaaTaataataTTaaTat -> TTaaTatataattaTaaT
  TataaattaTaataataa -> taataTTaaaTatatatt
  aaaaTaataataTTaaTaaatt -> TTaaTatataattaTaaaaaa
  aaaaTaataataTTaaTaatatt -> TTaaTatataattaTaaaataa
  aTTaTTaTaaTaataataa -> ATTTTTTaTaTatatatt
  aattaTTTaaTaataataa -> ttaTTTTaTaTatatatt
  aaTaaTaataataTTaaTat -> TTaTaTatataattaTaaT
  TaatattaTaaTaataataa -> taaaataTTaTaTatatatt
  TatatattaTaaTaataataa -> taataataTTaTaTatatatt
  aaTaaTaataataTTaaTaaatt -> TTaTaTatataattaTaaaaaa
  aaTaaTaataataTTaaTaatatt -> TTaTaTatataattaTaaaataa
  TatatatttAtATAtaaaTaaaaaa -> taataatattaTAtaTATaTaaatt
  TatatatttAtATAtaaaTaaaataa -> taataatattaTAtaTATaTaatatt
  aaaaaataataTTaaTat -> TTaaatataattaTaaT
  aaTaaaataataTTaaTat -> TTaTaatataattaTaaT
  TataattaTaataataTTaaTat -> taataTTaaTatataattaTaaT
  atAtATAtaaaaataataTTaaTat -> ttaTAtaTATaatataattaTaaT
  atAtATAtaaaTaataataTTaaTat -> ttaTAtaTATaTatataattaTaaT
  TataattttaTTTaaT -> taatttaTTTTaaTat
  TataaattttATTTaaT -> taatattaTTTTaaTat
  taaaatttaTTTTaaTat -> TaataattttaTTTaaT
  TataaattttaTTTaaT -> taatttaTTTTaaaTat
  taataatttaTTTTaaTat -> TatataattttaTTTaaT
  taaaatattaTTTTaaTat -> TaataaattttATTTaaT
  TataaaattttATTTaaT -> taatattaTTTTaaaTat
  taataatattaTTTTaaTat -> TatataaattttATTTaaT
  aaaaTaaaatttaTTTTaaTat -> TTaaTaataattttaTTTaaT
  aaaaTaataatttaTTTTaaTat -> TTaaTatataattttaTTTaaT
  aaTaaTaaaatttaTTTTaaTat -> TTaTaTaataattttaTTTaaT
  aaaaTaaaatattaTTTTaaTat -> TTaaTaataaattttATTTaaT
  aaaattaTaaaaTaataTTaaTat -> ttaTTTTaaTatataattaTaaT
  aaTaaTaataatttaTTTTaaTat -> TTaTaTatataattttaTTTaaT
  aaaaTaataatattaTTTTaaTat -> TTaaTatataaattttATTTaaT
  aaTaaTaaaatattaTTTTaaTat -> TTaTaTaataaattttATTTaaT
  aaTaaTaataatattaTTTTaaTat -> TTaTaTatataaattttATTTaaT
  TaataattaTaaTaaT -> taaaataTTaaTaTat
  TTaTaataattaTaaT -> aaTaaaataTTaaTat
  TaataattaTaaTaaaaaa -> taaaataTTaaTaTaaatt
  TaataattaTaaTaaaataa -> taaaataTTaaTaTaatatt
  TaataattaTaaTaataaaa -> taaaataTTaaTaTataatt
  TaataattaTaaTaataataa -> taaaataTTaaTaTatatatt
  ttaTAtaTATaataattaTaaT -> atAtATAtaaaaataTTaaTat
  atAtATAtaaaTaaaataTTaaTat -> ttaTAtaTATaTaataattaTaaT
  TaataattaTaaTaaaataTTaaTat -> taaaataTTaaTaTaataattaTaaT
  ttaTAtaTATaaaaataattaTaaT -> atAtATATaaaaattataTTaaTat
  taataataTTaaaTat -> TatataaattaTaaT
  TataaattaTaaaaT -> taataTTaaaTaat
  aaaaaataataTTaaaTat -> TTaaatataaattaTaaT
  aaTaaaataataTTaaaTat -> TTaTaatataaattaTaaT
  aaaaTaataataTTaaaTat -> TTaaTatataaattaTaaT
  aaTaaTaataataTTaaaTat -> TTaTaTatataaattaTaaT
  TataattaTaataataTTaaaTat -> taataTTaaTatataaattaTaaT
  TataaattaTaataataTTaaTat -> taataTTaaaTatataattaTaaT
  aaaattaTaaaaTaataTTaaaTat -> ttaTTTTaaTatataaattaTaaT
  TataaattaTaataataTTaaaTat -> taataTTaaaTatataaattaTaaT
  atAtATAtaaaaataataTTaaaTat -> ttaTAtaTATaatataaattaTaaT
  atAtATAtaaaTaataataTTaaaTat -> ttaTAtaTATaTatataaattaTaaT
  TatataattaTaaTaaT -> taataataTTaaTaTat
  TatataattaTaaTaaaaaa -> taataataTTaaTaTaaatt
  TatataattaTaaTaaaataa -> taataataTTaaTaTaatatt
  TatataattaTaaTaataaaa -> taataataTTaaTaTataatt
  TatataattaTaaTaataataa -> taataataTTaaTaTatatatt
  TaataattaTaaTaataataTTaaTat -> taaaataTTaaTaTatataattaTaaT
  TatataattaTaaTaaaataTTaaTat -> taataataTTaaTaTaataattaTaaT
  TatataattaTaaTaataataTTaaTat -> taataataTTaaTaTatataattaTaaT
  TaatattttaTTTaaTaaT -> taaaatttaTTTTaTaTat
  TatatattttaTTTaaTaaT -> taataatttaTTTTaTaTat
  TaataattttATTTaaTaaT -> taaaatattaTTTTaTaTat
  TatataattttATTTaaTaaT -> taataatattaTTTTaTaTat
  aattaTTTaaTaataataTTaaTat -> ttaTTTTaTaTatataattaTaaT
  aattaTTTaaTaataataTTaaaTat -> ttaTTTTaTaTatataaattaTaaT
  TaatattaTaaTaataataTTaaTat -> taaaataTTaTaTatataattaTaaT
  TaatattaTaaTaataataTTaaaTat -> taaaataTTaTaTatataaattaTaaT
  TatatattaTaaTaataataTTaaTat -> taataataTTaTaTatataattaTaaT
  TatatattaTaaTaataataTTaaaTat -> taataataTTaTaTatataaattaTaaT
  aaTaaaataTTaaat -> TTaTaataaattaT
  aTTaTTaTaaaataaaa -> ATTTTTTaTaataatt
  aattaTTTaaaataaaa -> ttaTTTTaTaataatt
  aaTaaaataTTaaaat -> TTaTaataaaattaT
  TTaTaataaattaTaaT -> aaTaaaataTTaaaTat
