FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(16,36) rkX=7 rkY=9 rkZ=9 [(16, 36), (25, 28)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 3) pair=(0,13) rkX=4 rkY=4 rkZ=4 [(0, 13), (3, 2)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 3) pair=(17,2) rkX=4 rkY=2 rkZ=2 [(17, 2), (16, 15)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 3) pair=(13,3) rkX=4 rkY=2 rkZ=2 [(13, 3), (15, 3)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 3) pair=(18,13) rkX=4 rkY=4 rkZ=4 [(18, 13), (13, 10)]
FAIL A=False B=False host=['a', 'baBB'] X=('perm', 3) pair=(22,1) rkX=4 rkY=5 rkZ=4 [(22, 1), (3, 0)]
FAIL A=False B=False host=['a', 'baBB'] X=('perm', 3) pair=(5,4) rkX=4 rkY=5 rkZ=4 [(5, 4), (3, 23)]
FAIL A=False B=False host=['a', 'baBB'] X=('perm', 2) pair=(3,7) rkX=3 rkY=4 rkZ=3 [(3, 7), (7, 1)]
FAIL A=False B=False host=['a', 'baBB'] X=('perm', 2) pair=(0,7) rkX=3 rkY=4 rkZ=3 [(0, 7), (10, 7)]
FAIL A=False B=False host=['a', 'baBB'] X=('perm', 2) pair=(1,2) rkX=3 rkY=4 rkZ=3 [(1, 2), (12, 8)]
progress L1overL2 {'inst': 25, 'Yneq': 912, 'A_fail': 18, 'B_fail': 73, 'both_ok': 839, 'fibre_pairs_max': 93}
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 3) pair=(15,17) rkX=4 rkY=2 rkZ=2 [(15, 17), (22, 11)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 3) pair=(14,7) rkX=4 rkY=2 rkZ=2 [(14, 7), (18, 9)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(13,11) rkX=7 rkY=2 rkZ=2 [(13, 11), (36, 22)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(7,43) rkX=7 rkY=9 rkZ=9 [(7, 43), (19, 2)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(23,6) rkX=7 rkY=5 rkZ=5 [(23, 6), (8, 42)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(39,21) rkX=7 rkY=9 rkZ=9 [(39, 21), (44, 0)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(44,0) rkX=7 rkY=2 rkZ=2 [(44, 0), (21, 18)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(4,3) rkX=7 rkY=2 rkZ=2 [(4, 3), (11, 35)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(37,15) rkX=7 rkY=3 rkZ=3 [(37, 15), (10, 27)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(14,22) rkX=7 rkY=4 rkZ=4 [(14, 22), (0, 20)]
FAIL A=False B=False host=['a', 'baBB'] X=('reg', 6) pair=(36,9) rkX=7 rkY=8 rkZ=7 [(36, 9), (34, 37)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(15,42) rkX=7 rkY=2 rkZ=2 [(15, 42), (38, 33)]
FAIL A=True B=False host=['a', 'baBB'] X=('perm', 2) pair=(1,10) rkX=3 rkY=2 rkZ=2 [(1, 10), (0, 8)]
FAIL A=True B=False host=['a', 'baBB'] X=('perm', 2) pair=(7,2) rkX=3 rkY=2 rkZ=2 [(7, 2), (5, 12)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(3,24) rkX=7 rkY=2 rkZ=2 [(3, 24), (25, 29)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(1,26) rkX=7 rkY=2 rkZ=2 [(1, 26), (9, 2)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(22,31) rkX=7 rkY=3 rkZ=3 [(22, 31), (37, 18)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(45,24) rkX=7 rkY=3 rkZ=3 [(45, 24), (5, 24)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(37,13) rkX=7 rkY=5 rkZ=5 [(37, 13), (44, 4)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(27,10) rkX=7 rkY=2 rkZ=2 [(27, 10), (5, 4)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(25,35) rkX=7 rkY=9 rkZ=9 [(25, 35), (2, 45)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(12,43) rkX=7 rkY=5 rkZ=5 [(12, 43), (15, 30)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(35,13) rkX=7 rkY=5 rkZ=5 [(35, 13), (37, 8)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(27,9) rkX=7 rkY=9 rkZ=9 [(27, 9), (19, 2)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(35,28) rkX=7 rkY=5 rkZ=5 [(35, 28), (11, 25)]
FAIL A=True B=False host=['a', 'baBB'] X=('perm', 6) pair=(33,20) rkX=7 rkY=8 rkZ=8 [(33, 20), (21, 16)]
FAIL A=True B=False host=['a', 'baBB'] X=('perm', 4) pair=(6,16) rkX=5 rkY=2 rkZ=2 [(6, 16), (24, 25)]
FAIL A=False B=False host=['a', 'baBB'] X=('perm', 4) pair=(7,22) rkX=5 rkY=6 rkZ=5 [(7, 22), (23, 29)]
FAIL A=True B=False host=['a', 'baBB'] X=('perm', 4) pair=(18,27) rkX=5 rkY=2 rkZ=2 [(18, 27), (15, 26)]
FAIL A=False B=False host=['a', 'baBB'] X=('perm', 4) pair=(1,12) rkX=5 rkY=6 rkZ=5 [(1, 12), (20, 23)]
FAIL A=True B=False host=['a', 'baBB'] X=('perm', 2) pair=(6,7) rkX=3 rkY=2 rkZ=2 [(6, 7), (13, 9)]
FAIL A=True B=False host=['a', 'baBB'] X=('perm', 2) pair=(2,4) rkX=3 rkY=2 rkZ=2 [(2, 4), (10, 15)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 8) pair=(22,61) rkX=9 rkY=6 rkZ=6 [(22, 61), (40, 59)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 8) pair=(51,13) rkX=9 rkY=6 rkZ=6 [(51, 13), (54, 31)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 8) pair=(24,31) rkX=9 rkY=6 rkZ=6 [(24, 31), (42, 51)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 8) pair=(18,25) rkX=9 rkY=11 rkZ=11 [(18, 25), (45, 2)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 8) pair=(34,53) rkX=9 rkY=6 rkZ=6 [(34, 53), (62, 32)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 8) pair=(15,10) rkX=9 rkY=3 rkZ=3 [(15, 10), (38, 9)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 8) pair=(53,34) rkX=9 rkY=2 rkZ=2 [(53, 34), (46, 61)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 8) pair=(1,61) rkX=9 rkY=11 rkZ=11 [(1, 61), (2, 57)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 8) pair=(57,29) rkX=9 rkY=3 rkZ=3 [(57, 29), (43, 54)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 8) pair=(14,40) rkX=9 rkY=11 rkZ=11 [(14, 40), (3, 36)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 8) pair=(59,24) rkX=9 rkY=6 rkZ=6 [(59, 24), (5, 57)]
FAIL A=False B=False host=['a', 'baBB'] X=('perm', 4) pair=(21,15) rkX=5 rkY=6 rkZ=5 [(21, 15), (22, 24)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(12,38) rkX=7 rkY=5 rkZ=5 [(12, 38), (33, 44)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(27,34) rkX=7 rkY=2 rkZ=2 [(27, 34), (47, 22)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(42,13) rkX=7 rkY=5 rkZ=5 [(42, 13), (37, 15)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(34,5) rkX=7 rkY=3 rkZ=3 [(34, 5), (3, 0)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(32,8) rkX=7 rkY=2 rkZ=2 [(32, 8), (1, 17)]
FAIL A=True B=False host=['a', 'baBB'] X=('reg', 6) pair=(14,12) rkX=7 rkY=2 rkZ=2 [(14, 12), (5, 10)]
analyze L1overL2 seed 34 {'inst': 37, 'Yneq': 1441, 'A_fail': 22, 'B_fail': 123, 'both_ok': 1318, 'fibre_pairs_max': 93}
