coordinate qsharp_0 lift_0
111 -654294865159960153810422515733461891226948644398376636603968045777755867527/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
112 0 0
113 -1804107666276492420176315228533358674523560514036494484679851685199081716397/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
114 654294865159960153810422515733461891226948644398376636603968045777755867527/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
115 1189100401828496347712431467738161841717784644251522628694986568220305613863/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
116 -3301474518854994039074364151196015929246987057711821139543868268099052465282/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
117 2303344402984173046555105510444944943270291012495576197679037706981091524668/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
118 -2303344402984173046555105510444944943270291012495576197679037706981091524668/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
119 -238285274864531667255572576864213104901445065926326752505220583871878404276/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
120 3301474518854994039074364151196015929246987057711821139543868268099052465282/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
121 5449474976234736461689243108512500293682064428850601444095579165271370528155/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
122 1461350496638543029695243466779204149485640835004835363520586582184381865913/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
123 763927801872875018484228566901084699779500195431201760827683349385337688586/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
124 2228711282110375465494197799218855269587212808237876656352995573895131978888/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
125 63726443035635963009886557207329202601816423284726226693504976923083516483/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
126 -1415531893666353683948841058531703617200997987053276874399995917104461307102/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
127 10987488945454949239170829591826233225696101604494244053153770921005730328427/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
128 -5635167582363816605784157441662375044831493913492517317462677790954954138622/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
129 -9337644017160501267363750100358287785177977642084816673736874646845650817327/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
130 1862719379194338623782111543885010111408500016722766356978647395417524861819/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
131 5350710379372919224061170860384835819302905063611710350568027003381121149439/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
132 -16097594353965575785947309359788775381490410024677681937646435837087967193542/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
133 3301474518854994039074364151196015929246987057711821139543868268099052465282/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
134 0 0
135 6275925319853374631797522046984518228196506907291297285296201789418656102711/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
136 -1889790871268729782458048135368783049365441329529111268115062121772133108136/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
137 -1202953869833134262713707279375118306529210093649848027441947733010352955188/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
138 5539855620434336524307879781542117068954934224526199980091012693642516863957/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
139 7898828138130891625581242519943730876158309457932311218764071756333183326045/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
140 -7898828138130891625581242519943730876158309457932311218764071756333183326045/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
141 -2303344402984173046555105510444944943270291012495576197679037706981091524668/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
142 0 0
143 -1415531893666353683948841058531703617200997987053276874399995917104461307102/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
144 5279197149577770938387607344079721321110564990369571771076579168032684291465/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
145 -8130526957500381617825624063539562100267801383525347298275083536410555798733/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
146 -11837938271481702241609570055423870483828802215461481823087964937354733760577/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
147 2943878914727780722096992168690901631124684057761173272711983606207161776961/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
148 303447073425370898069868366428547660668142979214628496010850915988235514887/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
149 -9011811682882956054655912939684494299414739334230478700828541640648130168135/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
