coordinate qsharp lift
84 62903386503165992919528640831426860210252005326774754841389161227109245763472330/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
85 519242146369573756557437426380633357319514153650763425022801428854644912423280437/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
86 -318102758232092357791383517961529484468842897617588701525743626225967617938994543/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
87 171991425914026470418058261646571718473001741040431018902690699892792697440485499/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
88 -813024708489227345170911821320308654483032465182114989030636907993587489282947132/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
89 -1939090944709227255294322958886324587766684634202825640636147529041789027542080706/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
90 1334592008531139726328346107128874469196400665997270606960306063322594859315825870/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
91 -2122286082120851611695170612617698648220561586332675128708118415861308190559022008/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
92 -903106525167195666519733469509883602944609259093452951549416217346278055316431507/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
93 -1377643468893636060839939800076247378307131107672502749655641197228634408099083483/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
94 -53809264956171553778061837470659608733821056572027802473924657018743074764910614/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
95 -596467130244613944989639248194248520330021899788848759411542928696250354640617014/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
96 6154823319397345261098966971156878833524699976482985895429740171440174315874470/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
97 2145687033350529654329489663346865297916036715430800432055308913498663812306704241/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
98 -830508537777203915506442538723249286929266636822197569693526806346973763292132830/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
99 1767295293217112195425378093302150301547688227716650726344182509496857117358734634/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
100 1070196333482956470096954329401190056142734505600465409809469752365231188902563715/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
101 1530294319179845215786772788912299237586297878061953345142532833758957018770515203/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
102 -1266167126276760941886937106543585273061109923723428904407298420297976896212708089/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
103 -1974030312139305032200868908421649257388633027794057681471505259447002464760866068/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
