310 124
182 74 1
183 59 1
183 61 -1
183 59 1
183 92 1
183 92 1
183 92 1
184 60 1
184 59 -1
184 56 1
184 91 1
184 87 1
184 90 1
185 61 1
185 60 -1
185 60 1
185 87 1
185 90 1
185 91 1
186 93 -1
186 93 -1
187 101 -1
187 94 -1
188 98 -1
188 95 -1
189 96 -1
189 96 -1
190 102 -1
190 97 -1
191 95 -1
191 98 -1
192 99 -1
192 99 -1
193 100 -1
193 100 -1
194 94 -1
194 101 -1
195 97 -1
195 102 -1
196 103 -1
196 103 -1
197 105 -1
197 104 -1
198 104 -1
198 105 -1
199 106 -1
199 106 -1
200 108 -1
200 107 -1
201 107 -1
201 108 -1
202 112 -1
202 109 -1
203 115 -1
203 110 -1
204 117 -1
204 111 -1
205 109 -1
205 112 -1
206 116 -1
206 113 -1
207 114 -1
207 114 -1
208 110 -1
208 115 -1
209 113 -1
209 116 -1
210 111 -1
210 117 -1
211 119 -1
211 118 -1
212 118 -1
212 119 -1
213 122 -1
213 120 -1
214 123 -1
214 121 -1
215 120 -1
215 122 -1
216 121 -1
216 123 -1
217 0 -1
217 31 1
217 31 1
217 93 -1
217 93 1
218 1 -1
218 32 1
218 39 1
218 94 -1
218 94 1
219 6 -1
219 37 1
219 36 1
219 95 -1
219 96 1
220 5 -1
220 36 1
220 34 1
220 96 -1
220 95 1
221 4 -1
221 35 1
221 40 1
221 97 -1
221 107 1
222 3 -1
222 34 1
222 33 1
222 98 -1
222 99 1
223 2 -1
223 33 1
223 37 1
223 99 -1
223 98 1
224 13 -1
224 44 1
224 38 1
224 100 -1
224 106 1
225 8 -1
225 39 1
225 32 1
225 101 -1
225 101 1
226 15 -1
226 46 1
226 35 1
226 102 -1
226 102 1
227 19 -1
227 50 1
227 41 1
227 103 -1
227 109 1
228 18 -1
228 49 1
228 43 1
228 104 -1
228 110 1
229 22 -1
229 53 1
229 42 1
229 105 -1
229 117 1
230 7 -1
230 38 1
230 44 1
230 106 -1
230 100 1
231 14 -1
231 45 1
231 46 1
231 107 -1
231 97 1
232 9 -1
232 40 1
232 45 1
232 108 -1
232 108 1
233 21 -1
233 52 1
233 50 1
233 109 -1
233 103 1
234 20 -1
234 51 1
234 53 1
234 110 -1
234 104 1
235 11 -1
235 42 1
235 55 1
235 111 -1
235 113 1
236 10 -1
236 41 1
236 47 1
236 112 -1
236 114 1
237 17 -1
237 48 1
237 54 1
237 113 -1
237 111 1
238 16 -1
238 47 1
238 52 1
238 114 -1
238 112 1
239 12 -1
239 43 1
239 48 1
239 115 -1
239 116 1
240 24 -1
240 55 1
240 51 1
240 116 -1
240 115 1
241 23 -1
241 54 1
241 49 1
241 117 -1
241 105 1
242 29 -1
242 60 1
242 57 1
242 118 -1
242 118 1
243 26 -1
243 57 1
243 56 1
243 119 -1
243 120 1
244 27 -1
244 58 1
244 60 1
244 120 -1
244 119 1
245 30 -1
245 61 1
245 61 1
245 121 -1
245 123 1
246 25 -1
246 56 1
246 58 1
246 122 -1
246 122 1
247 28 -1
247 59 1
247 59 1
247 123 -1
247 121 1
248 8 1
248 8 -1
248 32 -1
248 33 -1
248 31 -1
248 39 1
248 37 -1
248 45 1
248 63 -1
248 62 1
248 62 -1
248 70 -1
248 70 1
248 65 -1
248 64 -1
248 94 -1
248 93 1
248 101 -1
249 1 1
249 0 -1
249 31 -1
249 37 -1
249 32 -1
249 31 1
249 45 -1
249 37 1
249 62 -1
249 63 1
249 70 -1
249 63 -1
249 62 1
249 66 -1
249 76 -1
249 93 -1
249 94 1
249 94 -1
250 5 1
250 3 -1
250 37 -1
250 34 -1
250 37 -1
250 34 1
250 31 -1
250 31 1
250 64 -1
250 68 1
250 67 -1
250 67 -1
250 67 1
250 68 -1
250 62 -1
250 99 -1
250 95 1
250 95 -1
251 6 1
251 6 -1
251 34 -1
251 31 -1
251 36 -1
251 37 1
251 32 -1
251 34 1
251 67 -1
251 67 1
251 65 -1
