coordinate qsharp lift
38 -5491426210131829676675622122596857341090007940157418291249957466381974728949286811858782696201321627821722017638/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
39 -5090734339699693152971922246628560028981472468901537668020359467462772043013053454464139987434949202811395623084/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
40 2343539627501194183876633595228106820236520030047884038163831047444907278319002680532503889322262449605033852039/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
41 -8196516950668735283619260060121992904160791553974271483007897087607890345444241706755872696707016069047322676303/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
42 2502986251474610683811805327457033276302610066669469881055273151021968307561215573224504538603913095959508176615/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
43 -11947911399549942960956607085823093146551305907648161983403404642559252806095035367474499064327736007007146684468/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
44 19009486333787320324471670814631391033891691420008759649390700667152434692073193873366478497222359337176111042135/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
45 -1716994745835661277647545963925133250790355848348536067622533954923642877436078179849329270902713271860712087602/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
46 -4324978869639210758152156566727028254717064229961019140565039554421867656093525455910712410101599069242532221897/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
47 -24933032055774006583155574896608225500307117456602629802633640548167307221197604384826242236957490203126276712957/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
48 -13108335438511857077963607625764880521161619801952142746283215599268428579819042072094557932250509374277621744458/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
49 3881628595647061341646426492269891173748948735501820796141858807781342077493331123576813520221258519900339102594/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
50 -5860679691152899852823522129166499886830635067169787286071557521997357895332142397700595165905412701291820069858/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
51 17780444918558706004339093597834021902804883953101529536068668497323698563873504416690897942066580420332662094391/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
52 -572341351660062023070303030559092243044429890795440723346472007664272385374868387080046196005090941157984555783/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
53 7227643546805869833949907684429104438757387111766827081636700029439751566933716985381813248736627865381723073970/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
54 -352850731920364137434566175439055706479060313614171698296164630624216436684015676004789931512208008982503829231/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
55 -18479408163205282624150409668489322017134606003790136429124761434846916312903089966846087763306468654479599252631/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
56 -4028368631283065134335847366311469450926881200768687332716268571852807415559875115147703013417215979603373795821/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
57 5709539496130188538182191380673186476821361579130586983384685477591728799795975998553318628807949239813544666541/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
58 -9829197251485873231403716135237463606206425182770576236360437874233672527118243536117447890912447173920438992087/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
59 3352127218623130861403856186596199974112060586988010658052097118174876028806587638114099653752015581473042163977/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
60 376317461069890372724186059956404831934292003831804572871548588662124911612256815629191860399859171126524008970/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
61 -5625518312727326424244667220833733283141869198530269215693758574653552226111799037380599431004763089083443319109/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
62 -11732784655333837238817365245869458829967268790383559204019604100336195364264051526142241973317419730584851332399/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
63 42216881220378749103277145542028691163275639288304697595838431916732380725434007138264735340663256762671704751203/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
64 -2780062372899125517192275443136093743891842417663237692480697634504622619793904129901674373518573349868924179778/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
65 1821635100490105072457961979832219070321576591262292919250432232210692134263666477695726660845282640106168321902/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
66 -9086859351596189579610683823528967017914449388439855014364461387165043266130974861336402266038042484060023959743/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
67 -3599261681097880011497961748676642925530916887920145372739808503163965765179873107448749686722984236178074327955/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
68 -4367129418678620470559433112321627670728556053514332409691798447547006761724158416256416749296657288674929659067/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
69 -1147828412166866001139076218376666736739340929461641965147734013953569196204975990468855116932309789584182512625/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
70 1199637636553766728621768393600377309416495055722106324731088142113879112073311233024227723499444061797322819838/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
71 412723059563766393244305744140976643450546239568612220817092190899912484842140209851556609396773980409896006760/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
72 -305345337363471399936772519558985174825055376595454759163499212881536927126463525729692814270119531578188702501/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
73 -11571397447196394701151871787472321105741001391472188611863085401767859315654634425992719226370982433898502507695/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
74 -972709621692821233527427420686131458793413303856911451958698642992713158904022580740400036261466462113638804002/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
75 980368642585261744200287851773295650654640993478637142171953578675007680113342316403771621347002006186511132953/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
76 -8269430998499865553211503560452288910918905221595056826581391486657100417214411339242442823093211322476908104669/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
77 165969623409342690129151733163758747911479095145969276370234394046423250967777876495479132471330708685109330733/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
78 23998316529898005433497750934626488547847338852649875014740769756344330514826129278476668380111301676244054676370/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
79 17150682106913922008501014716388840966076395577982529421639023519639802224645598445939452112609966469427007307605/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
80 22700460267869970377365140042192071519478989857988651526597262111199863446409582994946576387865943008403239447649/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
81 17777792142979116198200022272639219743590164316935671603292538840356144630523879032055206381917850318806290466803/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
82 6050806261132589704500482867884117461707528195619491328858881369013363913426168650524561059900953614899447547715/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
83 20131803644591409706626861506882342623694376659800876711915761163027617873334643551070422202292189325611974135163/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
84 -12553522097500788861990294057105357485583876840925255253199560496274270605405813918856358055122214756546044052975/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
85 -11597555660026022815490268853750437235275712612907062566838834344448827549878593465763054018382891938929922119583/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
86 2264376246615983836406281480834924845287190854221734550023122367153501496355042607011148903984349999737699641706/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
87 -22850754159597909941058248312221937245105668276649131564429352029946456482489463805815877664039489043937286925301/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 -1
88 -12735410750122209289207334457264905920947049118197353116783190326403603715885966317616780294414331714308666456998/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
89 -5837074171184589366924232109073300973010041044566228898740569117716369217138822565502020290022977702751661085301/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
90 -3376045098602887535544497606193456890416639171577950628832475052496602176386733104823800000276634179490692745848/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
91 12661876637076288217716629817748650905804027289506183029557437115993668656887319966516662251401514933001998133105/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
92 -11028141295609223683662753170143782475090829455284881421641001811360746231766800659528349890601331363102724426431/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
93 -21456978819156511638555386394297391787822162525475629915593265973185979711825466728071724203228000972372479473119/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
94 4104762140762911606852228306509009637980644594651619803795194295499125852031101269372483374551733923726090181917/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
95 -10758445958969437331451206569704686744202133657493259388101217710376370905986870488989964582274041250363943638577/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
96 -10713867077057287677706293312526302469236061568614300638187258083779695691489343385150506274833973885871931850555/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
97 -1661094100428109824960614499833623128827264993460932150446537162260606508406553115751484422994757310703269444736/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
98 -23809518996667579661321594239606400417429835987332259112075246628240830002348918514049631824060579366708706850823/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
99 -7575102408552449240017619537007432089533672045725194032729925623006248801504517777480004494616710587914450330379/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
100 -3214966085908437064508729016777612610493457280999395837810874855658984860530836456939318597368002076082790640720/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
101 21220554343016484193838663885280749601195014763727122168204738154598201588168319742670058463689024018228293942151/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
102 20095022637675391206984634050004476552317114174451336744159301121896779731246598861016129381855781886023711465919/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
103 -4228880754007612002063342950572629936490533372637763369119315278356476724361695187480177562150619810979544004087/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
104 -8161227041021665721568322726530977145839905513711597934063188670663030652738142233807610527685557231682088117315/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
105 -5449230349758113727345353965068313194270658953731996094897335360920601137723866312511850452470994137877428671209/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
106 2962382783107466627810333467138802677345092757672135446851595041078245450123300876613879798802077062473343492379/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
107 7756900937694321296377657231948984427079412788490014071047699406130330704945648848104662031436898809276199722753/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
108 1875300510866488104465000502448516445278781780440011766829997701670047594875619013144376383373281637818851807249/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
109 14012101124250329651400883237436639187161354002670916541925478674061969360240572148045089708233002660930932990629/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
110 -18465239469319754862492432451971338116627406403235911132468911194227199435270721242341398060004925511995377689295/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
111 14488457734408747271898549790760302011633160114665148439997493098473788240402371773641810521369850152785855022750/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
112 -13971133298687485832742000428421963435645917907386702229585319839901752553482812431556279075169846352158119221567/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
113 581631572415101552597472276343905509908293186049487399605437710391279718489881652706422729446361104732434372230/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
114 1729267468246914290279453474877806114776898436437962533490629676846115951844593587546582413123458856137962678362/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
115 -21683799818526972938745803560822121349893904979449411033878503803613927496786478328866928474415113193226489515601/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
116 20473463351875184167872977034458024727601140049088293663105399124817109298316974277694189085575902506403242557885/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
117 411956385787277511633689367652014303104949514154446206038961734459290896797189738867514391356379441463324142877/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
118 -4909324224676393013394286356533023164396048576796440484421617504851331575560673798741739854954728553196196605502/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
119 -5812538512993718733819426511502235794213083758076304249625235688628830830938958498898317551444781695508162163303/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
120 -6661409630895537976951223816361854182847207637537768389690507543499795188688810914684223669899032404563552683459/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
121 21390912926363910402569538500458313741591183405188120624947035911909268920499283110814528178204924444978900063436/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
122 5825497646032618066114614573755228042635321955197727569180229153212218426756963468448023462342152176782884675126/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
123 14753287907870719519201845468377526805252694493280675466842682304370817759211034761257973430021274034322796271205/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
124 -8503717894822056569704154911660858085415494717322414364741365969865009494210848185601747779317179198994068280073/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
125 -1222694107618678745996202602348139445612793985023196460343904651458344828088448814332626746632387656928266125267/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
126 7296719823811759112811285515662793649938731202518486039432514004435315667877130278631343472934460448809099342363/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
127 12540014804324094766843077209146609709279544150199850355825735315431857312395577426866329837322076339503395959239/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
128 6194398066550216182086308415570786574701794909377396529555130375496958979099186897314942502169287624509317874383/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
129 -42957162601918476080248247363883757439718825480764199270019951686213349275391514104234764381893333375868361416213/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
130 3677263437288831810273885872492292652422015055386757040522335376872877028529507875165347715644324892304334295172/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
131 5680825745941608118287390083528949731869203882969153419654644699210225274688823162089294812972464699435376768311/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
132 20886712589297659406289613603092088110756562476525760176274625184110312573530190045081340823216184339392119423982/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
133 -17419497013546914757426492455826414868979671208192736809728490277363059203309155928547506114964469675883815265647/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
134 1123965329971217830895015600735178704891581670938404359846903119186408176216302261749397515611685732491746303052/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
135 -28677396984402734734734754539125142815036178851992417369032858835274169537517939029036861983440684548657086594251/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
136 9702207371098632791407634484844400474726502642595452196223542632454855993401884489087037011520844203924577127477/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
137 -409244761356511079620001386817144545214401522343306638335745247185341654206488661196920961680837786924402602087/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
138 13723081809941837651543426658919493709248228982237382650920677087299581758825601393286991808698886667495342609252/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
139 16878789112692459414373180223560157925984610095076591564400794589736553783286818080280764114637380185103216225165/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
140 3845662986579650042379775019162907707587264358454358457042564465895612774820468195824902138911897448131198653517/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
141 14650893207931015708116646702425098577744457125878566257168243295712092621237047067676676718290458424571610672769/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
142 1384458319420846470763937173518121673034093099882218597989247677438498141195788604490289058755481135293553642642/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
143 33165944953210115370141738939398984468430804406568511901217069086877788848726829288030392153583915518328369878331/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
144 4612380066046706736855471436198448303601611330156955374150945363305633952590426242928550307257960654040463655451/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
145 -4626497649177342230825719557871225685455838830194552727388216606350179210035932695548642686355841490586243643606/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
146 12086604533155499641199577229747555765517559256914600186268442245911362910237408381093537672256187573861049021452/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
147 -4884609318397565242892935540144216225987943821388571590853299471821373139455963110759812303551324885178718777623/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
148 -16648071689252638413907157100245079524695955052022601254899458151855345105168567152191269537559552985729582452323/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
149 16359543637760229641851770166997507721922566443755918577558124699829194269719800701332963479714712219881678093204/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
150 2513553032007857599506297335818338262002495432624381776719573145997233856152713001266587916627865985543354140713/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
151 -2513553032007857599506297335818338262002495432624381776719573145997233856152713001266587916627865985543354140713/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
152 0 0
153 736841492836345137286547056970209222745661014525670123812759155617273975312963144253209113145398455136940996395/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
154 2513553032007857599506297335818338262002495432624381776719573145997233856152713001266587916627865985543354140713/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
155 1958359308590293269672076193460945425263273891203223368806930146174772478605860074915190106455412083305289269775/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
156 -2407174390464277335859504343237579649237543808496628485380612377793221492123590979441090550044420729862150476603/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
157 3688268896450985783629611473473121117103867282970855685607619162767116160109198118871833853760660586262644939959/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
158 -3688268896450985783629611473473121117103867282970855685607619162767116160109198118871833853760660586262644939959/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
159 149483560614781045224889988142817795194975089352433169368736147232332823334720585450586144579001154777295596772/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
160 2407174390464277335859504343237579649237543808496628485380612377793221492123590979441090550044420729862150476603/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
161 242428781997415897511525265643279296795591211051388812842744288101045619183684221758333951111962548383166398175/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
162 92795594172380119998189776136101607448175590149836181517790430928143583263355647922029197000167066011776044583/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
163 1918860421599396380609439255607133596316026171960756906214248139339075742821046017800121292906573072449554887093/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
164 2064737950133873533318869186041704038028225515330976660145890914378784842634982096740687473038857338986492933885/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
165 1156491846189542813381813535180668727351751268828575668764392303202935240935731118534027324183417505026344783915/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
166 -2954228497328845645197524383849178482179597115239085420809306669122421529358652354008929652563664265151779231603/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
167 710304896822627812951348310778716132618687580894015343341703198639691561787764786620488171512874267546998289636/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
168 -7287369373526449823771006281900989730698734938875527502531488578325578191805497397752326059749850293935516128949/784027680124070571244902013018900874324624829344998811622894236133560467890375653648339615390452725402770059419298 0
169 1321596497754517131600014013915131192633116469969371635155127686395945257072913508985531339834926027943218741409/392013840062035285622451006509450437162312414672499405811447118066780233945187826824169807695226362701385029709649 0
