coordinate qsharp lift
108 -96593006235946398736165964434364447498364363849006104982735759077369949432265894/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
109 258424960675914426981795389210773276652754625916616306623917954447407883634818703/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
110 51163178387126881324355212927884036098954399054247073838347831846269135134402190/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
111 186243358254434232602346014094517479213367700507787826630932521532787023077574580/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
112 39174272412179637177257518212438839088843741455143406565187238398212187918595376/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
113 -39174272412179637177257518212438839088843741455143406565187238398212187918595376/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
114 0 0
115 84152453357451470503575621342716719000338189823474557460585113263793837117495151/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
116 39174272412179637177257518212438839088843741455143406565187238398212187918595376/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
117 -42099661050634401839612140544305732647508963767989731658384774092613720258869022/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
118 -33214698549535405785126088900148400721555181810603953022138350629766231080926578/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
119 50599128020690976673468237866553955247631137153297886709660974139541321829680179/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
120 -50599128020690976673468237866553955247631137153297886709660974139541321829680179/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
121 72727597748940131007364901688601602841550794125320077316111377522464703206410348/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
122 33214698549535405785126088900148400721555181810603953022138350629766231080926578/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
123 -97342633357421229133347370263125683038883536660544750117894712242635502189751435/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
124 -100679548625977797107131204387271469610924730326165618805847566401857856171528213/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
125 122369195596004130570759050629928656249592250548543966514433365427627122814595654/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
126 -36140087187990170447480711232015294280220404123450278115335886324167763421200224/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
127 -37270665536661133605529141384325898275066540966874309499960477214985619640095438/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
128 -114008011110007640175070300869499526583489326512589196015548063326413558361112954/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
129 -505501233141270623475594317850409178334165063450118016321708835897455971258879864/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
130 -44874010314462496862225305677309902396131883662568353290744348377573628557458518/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
131 70227134658331813449866806055627862740550367373217800782438055012691056522573234/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
132 95298531914555672826243281183030881659484149442044974276141702546150849903187347/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
133 90698988209003879894532889571276367618470230020439524365607366387780782682562326/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
