coordinate qsharp_0 qsharp_1 lift_0 lift_1
10 121866359319027763991293464680298280107 -1259381202999532802194001940616296851680964811985741623450080815661499013660289586993577002393781461576676995816558416382/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -271764766763795428814177173953174638941205273991567584468788026143980 162627338330208355904096214533956900412421787400273810201469972845782
11 -223296728506340246125862395813848895345 2307574495074514510970985585852123298124516695129697473251631801258282819546877276535664677086140590323054656209171287622/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
12 -570230465182932357838025696293908633205 5892828285360430978300143112274663089468535298814439280299511134941510955002017756876523979493649663887010368665966950452/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 75426397770237169241078003156543811560516500995539266656188356105258 -45136072844463241230416385989338863817212990285359968337173156168857
13 116029222767311070640213282246903632372 -1199059551531064524561881743634375255469087014728976141251739471330487448340364234726374431606867231130086069934146193912/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
14 -61594348241444073916590782796036814046 636523194913974773956585556054300311626755123063594138192355842852046162114913439788834499969509298001834789170139958490/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -221425031770737941328239005769156968319035653626284415087767052083797 132503429290577792547594158986682062029161786526800231242477463957593
15 152220553403820866569329375465732418456 -1573064992982248229012077385236269554701971297009923201280775124373982305564847309344759082461210798592009387426398052758/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
16 -856759736985598801731517102819668817364 8853855274545956406145630082880359196561059041332466736061799423938849070697365081134397410776374854495382059532697756562/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 4135566139479526156857832194013162695733494674417487444796669974117 -2474773024336312297012897176996402020897381561681692618119979207554
17 -2312041473791230387088076537836277414 23892906860584157306716669140076133628971987172567992838846420792718493597285361010960058675233729456335648434564458977/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
18 449057650494955862810612807553556673869 -4640614253651382760198233430521748040156505230586760882880767864887116842463064920965278410937891715793202082119296792876/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
19 716449964862683726613953093125622939063 -7403877687653711669704682099642995523795558457893543774694018803865359095272190042662601678109523171585190228569048166260/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -53162275251924405870242878623030194796844003179451169956574472666428 31812951423952382908481427578791559940732823066702443366687326424675
20 380437721943882541347762173839407495405 -3931487890549308713354091704372215241250324765128625460601920780660950669287573670732821772989730275564292944498492546414/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -78872696979169622054847600898042159428549681227009434739594886480036 47198380163076451435459446079113653974761504348785966821670550412476
21 -65372174268890163133963108223951183540 675563690697663525904992251033576161598929343424995161960483792025037450152000260207879681841783149742121376602041108195/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 56935231391662909129476440030495038079392323899722425679103806800077 -34070734218789761742950011686260276587659965581367818810332012096331
22 -559712049795060242880451086363757328486 5784129751172260711773597518317577048312484500369717241753951129778768855435674652126043793418592027942484459023503048364/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 267397441638937562371346253711354298470512763812071057224628470902133 -160013877913186781528162515164450434726250247653029540369016101857809
23 370640518591475937324438522354506418924 -3830242445843072951857415790217987702899303502967335226703064285526263916753035248936057447574317486074868505742618932068/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -9014078136608455205507715083616887083522959335198968060158422652355 5394133876564199431625611415469496903482796826173710914492528656778
24 104021006908568054713538617920487827733 -1074965245123893385918523306673223128026222805070068434024322998932198082975118895184925298054348327980720736923385105993/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
25 42440266490582911825332200268729745851 -438582675048255257387926783292826797688976001322309748600464945811194482287198800223039104566479076000840483464521908946/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -4135566139479526156857832194013162695733494674417487444796669974117 2474773024336312297012897176996402020897381561681692618119979207554
26 -439366705637617885334541451469591112215 4540466896654472312657381790137010504650528862606611005804641758765125848221232102250694023878320007627477672253686515335/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
27 -53394562693145207375472034449779796886 551785652528539417239890173211735891908183460754332364757324127835576054686766207283249500509656408625846125778744498326/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
28 -514485815349379126472520003173068621688 5316756557605069883946487020439558789172916327889975544140941418207960752117726999257504037356681486388152308957426058796/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 11176679934875267141773128124061085269577067949388227348932988317782 -6688261067915433646307411076881122135837686790489168205864201606818
29 519857638217230812150508944154568153261 -41009691626494359889310202600125431325225155241704765076748981111645727072325603901168409470789597774086200929424926251/131826181247671269432793152518152195928049271388407880661657196795025925592569169 28966802055323839977755385964208301135176223063586667856544313841130 -17334086291950108917159018788932465634732790085915408828295069608741
30 -92770030130901696486812449076688886867 958696335899451428208462436796307380103289607506909441692561230939405236923618396848127407371428332147812039539294449022/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
31 372868830927655154142333306796619912161 -3853270086007899939798384550683506417178802584712049992431551082099124813629635077711172213652411751354725358321146367781/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 21925688259928098992840090034160378561332649788615927952407995497465 -13120598248370987567864504889047745519792484857107933240550847209477
32 -638378807632148217477065950273315495476 6597081222558967919278817312885247388901071144475085866063713119411994783776776787010623116295863535706398689533004306938/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 24195473196600565892487492658821893661667780115864502100030158825298 -14478865132002273991322408789859094306000032980787034538392256815934
33 -31286043239448175526989748894253289730 323313628077176078980102424623570250073523736511074293625618833387114426968334957739186337529594575519926907394192705498/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
34 449442015470281354441153946132097834065 -4644586326237461269003246755600718764001463080340899500385397339708755674230288472045655977146586736010924713531401610894/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 13018793261725298750714364534760808392090712166476274751097170507516 -7790604064086840345014997712977972170162346190297866332528055209116
35 -14981915187154518625288420280586173147 154824862883137408572538191068849299427308118825842428673027158137799064499933815936307282276484065968084893812490945781/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 28966802055323839977755385964208301135176223063586667856544313841130 -17334086291950108917159018788932465634732790085915408828295069608741
36 -569269647450852850511486998433987949939 5882899082600530016773099837789689093684654812690662975896638093001043493214526191106593471118547736411986229962952587515/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
37 24757294776167596380822930224977453274 -255844778267334705276796622875225452971154196802867388834336636563391985305037216880640021532992714600479774628917669286/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 205583698250145724193219930791255536003330975251567150930162911423818 -123023782842169132650599789239717063256004866807169703262311540312254
38 -76102173601591731709384837949199197267 786448758105203538857243274490899999743242109122860379892342034648169542899837337054032481148364189050479702736172489733/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -187781798802118537424706602121849677098846695992770618145421973264194 112370909922218755255103252026330392935322460937537045109036032103400
39 260410857388891775426482693630612865486 -2691116241472525674083245683617556536501020269513190783367426592614068319219312425722978171251254710597800575376365770757/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -580013698912445190487403771580970533283292259178824614413432816684620 347087244503528377067459093387396228383502307317428880663202185076514
40 -678018522378316636149982085621479393145 7006722668504693668112585243509358263854132622811306294650936357470937894528069575555153270849958398770814444173618978640/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -79508459698413369983257662009415404206324629500314113051312371521751 47578828298687974064283158901190623282596879892232648493453383997729
41 140125737564312028451589201874366113555 -1448075752250575866396954275122285403168490945044107125646827206808489558348242340487605706314594613288425424151216647111/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 18437662167270934696923389780779103682259227532101211096458423201339 -11033321055561900024320250035463639628517781413079339825058341794107
42 -209382385358663600903907581438128062988 2163782046443177818632857339772177048208333616197406919065090190459162003559206845100705771658290778244012398438639784940/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 226047609041132171571286564319630333972081193461239804097751000048984 -135269635692761354894812211482146661183668735584159149640032759725468
43 305355838362817544427284988464781768390 -3155582928784944515600490016560074519285075014651769851241848013593852836139008662837732949803633528802959422959070680063/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -82201323107517590101940033308165560370005791726017225846893790491656 49190270480558666268550667371292666787411784332995920821699452505264
44 -222641355696744735828817070663782626436 2300801795849120418229689914208754026221302122236358725572043710561294785868898239345111129964909954125416177040350150501/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 54475301132537013642796000378030833317903115039700656825817644034300 -32598682063966875653514952724271240404157382435155271577112488095743
45 225702927055829627785992397492237939256 -2332440432162031370579459337204737948377184265928689014834567238420072115470617315889421485054073392161887057570360360025/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -33738130914047114063023279269594708608684666011308833613058468856962 20189307451897943842995628788005836963465547191043783118197882401548
46 1173657731799121053286594144423836541187 -12128716197334515324223272652724366173891633708063566956445762411659972316151938345583470757952985593490192883163177723786/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -62069170250127206112368604122429764966085940801590823157885297656377 37142945608236530131330934754861333290362961733512510274710118425036
47 394213199108257290125530440280532721758 -4073845281876203970339720195595550296083176163472949226904485109467684772592229650337918213876859864144848788943146036374/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -66234239575352703298301016268195493566390181698677932605841991289955 39635373697382252465499952355614384246795201478178311752976721009395
48 22324331674155220089108745423901714786 -230702253165352640351528372975199093592919501209063396073534192133634392224641271264625703027624486741240817322236145447/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -15300468746776179366099889488815604926425438479207622516600045655623 9155986396336043818675378752542197334947765777964443293139540607441
49 553178239190357713905577011163746843001 -5716608588601216390195014375020901655432315881542035984620806165961881779451174927328262631279549553201034842575376850813/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -14302096027791408540065557586765940986525732857683723651661753227222 8558548031225587727307352858467237607620399851397647206938362586553
50 -158413098360840975729604917933035609420 1637059476457254307229550835415555948922336974851236261634836268384479923590974265047982462416010199762892311163858082798/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 14664706027532431437689828377442360148650490205902944204882560613908 -8775538260724521189851665930465228027112390234517761621356707022188
51 -955713511675792157316791559847890563800 9876455149581549107186103214973307216437751882962860786464711253917757119395843403136220654486605978040282930225504910382/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -46121161456528664885327582697110371971940013298553418883391625868981 27599463380373261559186913681377144871314269173998765018886154925148
52 373068732478468797272193954048866313822 -3855335892001874935416600871596980425801900304593927588686188752210778297137183451771865282543115660807977245903880344574/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -117061160415123899004454553702351344462422969810127058649645588795930 70050820666916959154691018925527248115446941424867141094308678557484
53 -28057602907073614174140626674094116248 289950548287827995988228343307792882519325418972296802260640132594705224176740381981781470935623696454924762007980302444/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -325331045749585242326857025639770900740865209939244392937717098584393 194682050497086999362480552742315365995715827824860358025606241075291
54 -442475612443609114995569617242726040845 4572594703009079228584529564240062285489798297565834693442344814014399358735769257945582960359601070390165233973073740596/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -41634762644886729763376550545807532901906468814587791993457232690672 24914747822453717924274632936188384298233951139507172757135522388627
55 -304100991975820672532401454480277179988 3142615199534096279822855589381944952948904513798743534871175120214237200974654537275971192163947371809650833012871111861/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
56 387886481457149497287995564247478450967 -4008464242096126979040259800406573697271952196618202132762265722820632151863089757993638322803146600630108558866092323011/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 263261875499458036214488421517341135774779269137653569779831800928016 -157539104888850469231149617987454032705352866091347847750896122650255
57 -714428985806165707973648633741531148906 7382992653837516197169406890561214039866189820587026199028099578996083085999170443153545026147027714279410724983409963446/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 62069170250127206112368604122429764966085940801590823157885297656377 -37142945608236530131330934754861333290362961733512510274710118425036
58 777400217601117328853321121405186492633 -8033744724346824050057809255280544157506629700107861089263362258239081413035689138077506722885757840552956595947857014500/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 14664706027532431437689828377442360148650490205902944204882560613908 -8775538260724521189851665930465228027112390234517761621356707022188
59 -575348352717163550175278356252234699422 5945717133404240842911707838332552303782146330847686507264499839514207752116457165831040526266636909427966461687583461901/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 28966802055323839977755385964208301135176223063586667856544313841130 -17334086291950108917159018788932465634732790085915408828295069608741
60 -251888971049560165403123454280747570345 2603050071859981701502786315960715024305691682054421232625342865730727563002653274374960579093034583837598199949559862118/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -37214266458325864643201857197710801802698075676413765682080800879032 22269469196089114336337406505307371521684130507188698110863362924787
61 -66117482029935043225060153617294223239 683265788224450278169841191237002786440932971533759385539890602321098021083243805172913611983666131534873890862566343417/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 70952397372372978706225136467305510411382741687722599295139269735994 -42458776647987058179333035293313208485149677698232481229061245326335
62 -46656938902499089519884915846809521220 482158260668829313718642337827375042814858369439081203676375170761053626968725235045328823964275788315989936543967964108/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
63 -60761946351075494828558727941484101734 627921056473725276088078520219887442719807264470607601349826776105863285976229338395861333185681059988340168644478300681/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 55111063851780761571206061489404078095678063313005335137535129076015 -32979130199578398282338665546348209711992757978601953248895321680996
64 164513763564574350920734518841219633965 -1700104463821339145215343964954417795037749325408594799401265003734850638689335659807518870077737709979483307835918315904/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
65 -122387863233872391776186418366452421348 1264770485417715678511414561712887980364534547294937007857577664408295826844659187446876330500137507640725492739545628712/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
66 339154734274627905359316557489760908909 -3504864670122938789692040715654022935442907688703430411086142448319848327916504301112406532532176703790583162643456423382/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 107530393246055764549656889420971810949405679900165500754497990584540 -64347493795639206353220276066133381836559298678597868177273128763738
67 596348763017536843211957884559843638865 -6162737828330658319171714756234233553582678411896524109727106563391040679939236349379318448424521151197811895533154167523/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
68 521340470207629319236378654698329621695 -5387593362197966701194136934251507805768998141593387479033633440812557966305583706042957205735668333698747579676696393460/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 33738130914047114063023279269594708608684666011308833613058468856962 -20189307451897943842995628788005836963465547191043783118197882401548
69 -4792379444746518490117823059430436645 49525009396196455558895279432024273169684235873044426914699467446585426967788345898214347713829640444739929227015226628/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
70 68984727662069312545373793355812586833 -712896239758983079663973000239345992967753449054924159767504977531885508650587269302155535487043237896089668443655687109/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
71 -670663769011914118622642561802673306858 6930717787468597406864614911800847708837801215725002459001698834579961529194205543661663031409166166077180702519088482592/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 103703932895013935875745154668237297867992409616178615151342530347049 -62057693430690248055605567691049717588596912873019683031845640813663
72 -31000035127695361746737992221464658636 320357986816867712727775646253899447817067358594515883148010889987619366300004502004991289818227938580432013527144335154/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -101879765355131788317474776127146337884278149029461524609773852622987 60966089411478884594994221551137650712929705270253817470408950398328
73 -455816724566738437163219264190529316923 4710463315223827860389486451804001634764355932840791333021295950887605640427943199837711565641123784547220413062942256951/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 4135566139479526156857832194013162695733494674417487444796669974117 -2474773024336312297012897176996402020897381561681692618119979207554
74 -222652021879087161703484896357452800618 2300912021424290442419707421309088533858086127373110137410458006933012418059168379261137288728741462505316530153363297765/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 108814203877521205210368125605648200030740889782039135566067168293017 -65115741675603397269139084122032876136456486323074278542552082043306
75 247946405189736343436961457058529539474 -2562307135390929693495209579271085208064826918808214738922241206930928728004902228130821920286156179272545156335088717351/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -15300468746776179366099889484687505177485855085134633685646574109405 9155986396336043818675378750071892289426014441860646053196489707704
76 -405309111485019102036972073661216760134 4188511737455154294238488879783717446041528059562305656018383935378970784354348234267156131691318281718689018436616682611/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
77 970233896554698225297246452983023096400 -10026510504307795790506087709180263174707466974007022514790962629601189461447839373862216244245531863721406073787527614545/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -4135566139479526156857832194013162695733494674417487444796669974117 2474773024336312297012897176996402020897381561681692618119979207554
78 -987536991454842724778483870461660598967 10205322709683628858655234287401277135715105266577444580724805906073201059046350920613340052916786465784170118501972296000/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -236440570470432781731022034103889004841986193641735498737787335901897 141488910084885545075345208485339648608457113234127892507464824308748
79 631980737484855700812505032997225971964 -6530962817742434089641001654105890316026553034094130257767816213608071352459866049226613103530332340592341449866739796918/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
80 1050752758015802694812990016830484916268 -10858601831050217223518740413256225285444652423008548046459569118453782647862001288368401747408225587853259068336073233053/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 334980886605437445460774801834761032602163117547748039309593006278463 -200456632509262721422929876979861832207034000194480750611881603317322
81 -18481376161712286238411672600957544888 190988701670273161135052851164533311312736692937595499305983179306602524202765383327152900925759593671485536252027258195/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 112961660565379145082964080120798444662594813653793418966837606994972 -67597630148557626616354458432841544444888236676535852343556035243254
82 64532488185942129581447410970719096391 -5090734935570981591764843758771009627152301595639177208104404918876930342345129375105988082109728718065269671971093513/131826181247671269432793152518152195928049271388407880661657196795025925592569169 -70976065248330006354494329621829335135327878423730476359196122646326 42472939792520677354180441930931106639993100400322577182732910425397
83 269166540323408581126094906849522144106 -2781598492429805066881367661819544051436825189022223694680084478506318162631141352135366936281318507885460051356460529394/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
84 786942474810879272250781516988634748294 -8132355525812562252680857074609559103782955502271825044283862366094562502543332417600729309165843365277052609924773268268/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -1456055379952508017175121200435278309192127145020233524560892214732 871321230205189386900916492956336277184246816797937608394003303983
85 -253092062825406786037515535768446655943 2615482962909250876146721659033575561757381216787232566372728558688259096646989090839372093056280003669684915390979237500/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 259583992020946247248771378625841687197277779380805405825611202286448 -155338214729608890229669611411809312279834116756001093894912019625533
86 -160028894231622134669442805624453571181 1653757299867396431300414045247059098805587609616389017716433097748494724658285711147816918632105080992018359085278437846/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -131238680595942622221929012829655524337210292269864046191745525964046 78534820997737337011853673833354450657167592586169652333325936919772
87 410450651727178189130274582208378132153 -4241645015347618690135174010818917549053458149453616379977024675536481104106804204887803364926335839961122865686667810518/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 17546472586691818834271047467074856405580127017709615921321199981562 -10500022382731496141728328383258708500564824981979984985269951329373
88 604249252740807095359384039196335632687 -6244382412673501014317617892010631660879127088283517010909222707304978477677449115125526361806924267976017400579351415343/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -63584232001571656187692885222242075335479976997877311857812765643813 38049576968060539592544092092860662393095173580174868363454317582892
89 -804033933873419201220447824503895288298 8308980661703021413123863652479227714457650190210323397231998376677912745200490303149256005449643632399766254170912447784/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 33102368194803366134613218158221463830909717738004155301340983815247 -19808859316286421214171915965928867655630171647597101446415048816295
90 874721214559042616868620539109583685800 -9039471283430542355922981041123378139842471814950590936044066809157676278424290065125557867332850787137228678284762177010/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -4135566139479526156857832194013162695733494674417487444796669974117 2474773024336312297012897176996402020897381561681692618119979207554
91 -617389362210539313656364731290304203176 6380173839971461714992532047958137184920861441380439967188246499904460097981502376392210141196936195535674015216171028656/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -46121161456528664885327582697110371971940013298553418883391625868981 27599463380373261559186913681377144871314269173998765018886154925148
92 235996518607270198130940036192817973320 -2438815610543313914825177375837750071246090178138318697942900650561924081296905682100809591054886632590791260804916349039/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -33102368194803366134613218158221463830909717738004155301340983815247 19808859316286421214171915965928867655630171647597101446415048816295
93 -565172059984068724505322472664001011710 5840554134723608653022742718368206927560894478695637504500769309435938488191281154376160044529275860052088386938545186039/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 165773103145141141988113758790667062834078350417769438309227828003426 -99200639038926778186936502445911050878959874606532193306555759238699
94 -72501359438030878381613992483612018214 749237523615038726430176350057337076603534221592807016075188968974184987417969918615433085278174887239335456990431657520/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -101879765355131788317474776127146337884278149029461524609773852622987 60966089411478884594994221551137650712929705270253817470408950398328
95 -785680199445765964302471644556324895488 8119311024633434432677538003198335424074735980879433704145147738767318214102824414119535587152699083781125463990584017058/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
96 -193471932481013142141720131061413515245 1999361566523300051729731285521780176808882397247141023981338872044146231600233587652575671553765547547258795940783112855/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -18437662167270934696923389780779103682259227532101211096458423201339 11033321055561900024320250035463639628517781413079339825058341794107
97 -8267504064041424940976130389082194956 85437353443201896217498253763873646839920397126456214430172880577617380379683103261437053769140544525029371699476324809/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 103703932895013935875745154668237297867992409616178615151342530347049 -62057693430690248055605567691049717588596912873019683031845640813663
98 206009078116896115026526181696889839434 -2128921895077674102662602575200865945303496886868756588395721414243880778616368182981146257982625290112788818146841590568/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -37873697053526640219881111463607871304418160685726321057855138831079 22664080476234256140008525965002238984362928752725475736317861609102
99 540570570947517947736998835933390074989 -5586319471182678393369773912226602900224325201109636844869199324008697523274986874400718045575845244205168151655008786055/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 60785867484061096323017411074552732120590503504456363088274186482889 -36375001641097782749038579611842372898426659408516526640242861947336
100 265022461703622841151695149613302661368 -2738773099543094474567127902495650744166276229086337018135444004610157836804435362631849596186229904233352365966111321761/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -28966802055323839977755385964208301135176223063586667856544313841130 17334086291950108917159018788932465634732790085915408828295069608741
101 -75708772850472712623396804004081143059 782383308755820754382896902113500136541986465836173762753085663473099972728444936179933089865339760673605386165091452654/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 159409365731914060630548574996124972900754245782482210641461352077480 -95392501252452841879409348501905981385355819420304327909493198710713
102 -601277235037418717159676485843706161894 6213669234307100424849627673857984047100850165636136298977801818127703261103307302988307750847672680318101510575774254105/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -41634762644886729763376550545807532901906468814587791993457232690672 24914747822453717924274632936188384298233951139507172757135522388627
103 -236597605693875227597531408435122171709 2445027314761492947002689733317415197906099054404823302366691295693217165736265523381090829361198384986475223045951462357/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -254682653162859948160546745941199632542427049239580221475715718100227 152405194006441377704978540645080862387786479492568522637595944001223
104 -443870238918587063356881021690527961965 4587006936028979527442647245874752869928247291633507988338134983355167160342221560524399449032648884734380737595764663736/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -74428025051252398415043671258622247369556378768088356622203535223075 44538634479352785139048360097734209135407375694896969490915029047706
105 -307808521106080891048884692036968366929 3180929238964778566965047004588141437877476058241965863014068812791142400893472493997709504699966230557133179462724482031/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
106 -34522267154929571733335298748780332265 356757144324226743006677598403272996027124012166647654328978457324367924150466262963499804800803278341552733874340880504/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
107 391636239773446996825529453028410731329 -4047214682871778454114524074456449337696195741419316887999554327008982291986300977966598665716493108080950295098723408465/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
108 -187711272937048792183988178305476829498 1939830237392867786567285055392178860156584435587427329578119183350174417702432424792466481700404615602109755232964990906/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
109 -753611953550624872606366701634458492839 7787914022875280870080931198066270309925831665238996947906787781972615002512364233906216908965144628601712868922035381243/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
110 402784709765556819339554510780189525128 -4162424274991556166360667289091502056941525463877310706992311238850821318089976951626137239863411241547102836190360402183/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
111 -137078240796137322753063625222117158730 1416582564405406487915940903862794477822249253892136612565640441087681610768841251779897427198821925454310591949939003545/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
112 -22540437326857264177705076713415519788 232935514242451261415058459963744059309530594586247209677441008807810542138691314977315894313341103593554416493118116306/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0 0
