570 228
156 155 1
157 157 1
157 153 1
157 164 1
158 158 1
158 160 1
158 167 1
159 159 1
159 169 1
159 152 1
160 160 1
160 167 1
160 158 1
161 161 1
161 154 1
161 151 1
162 162 1
162 162 1
162 162 1
163 163 1
163 170 1
163 168 1
164 164 1
164 157 1
164 153 1
165 165 1
165 166 1
165 150 1
166 166 1
166 150 1
166 165 1
167 167 1
167 158 1
167 160 1
168 168 1
168 163 1
168 170 1
169 169 1
169 152 1
169 159 1
170 170 1
170 168 1
170 163 1
171 0 1
171 0 1
171 57 1
171 57 -1
172 1 1
172 1 1
172 58 1
172 58 -1
173 2 1
173 3 1
173 62 1
173 59 -1
174 3 1
174 2 1
174 63 1
174 60 -1
175 4 1
175 14 1
175 71 1
175 61 -1
176 5 1
176 6 1
176 59 1
176 62 -1
177 6 1
177 5 1
177 60 1
177 63 -1
178 7 1
178 13 1
178 64 1
178 64 -1
179 8 1
179 8 1
179 65 1
179 65 -1
180 9 1
180 9 1
180 72 1
180 66 -1
181 10 1
181 16 1
181 78 1
181 67 -1
182 11 1
182 17 1
182 77 1
182 68 -1
183 12 1
183 24 1
183 80 1
183 69 -1
184 13 1
184 7 1
184 70 1
184 70 -1
185 14 1
185 4 1
185 61 1
185 71 -1
186 15 1
186 15 1
186 66 1
186 72 -1
187 16 1
187 10 1
187 76 1
187 73 -1
188 17 1
188 11 1
188 75 1
188 74 -1
189 18 1
189 20 1
189 74 1
189 75 -1
190 19 1
190 21 1
190 73 1
190 76 -1
191 20 1
191 18 1
191 68 1
191 77 -1
192 21 1
192 19 1
192 67 1
192 78 -1
193 22 1
193 23 1
193 81 1
193 79 -1
194 23 1
194 22 1
194 69 1
194 80 -1
195 24 1
195 12 1
195 79 1
195 81 -1
196 25 1
196 25 1
196 109 1
196 82 -1
197 26 1
197 27 1
197 84 1
197 83 -1
198 27 1
198 26 1
198 83 1
198 84 -1
199 28 1
199 31 1
199 88 1
199 85 -1
200 29 1
200 32 1
200 90 1
200 86 -1
201 30 1
201 33 1
201 89 1
201 87 -1
202 31 1
202 28 1
202 85 1
202 88 -1
203 32 1
203 29 1
203 87 1
203 89 -1
204 33 1
204 30 1
204 86 1
204 90 -1
205 34 1
205 48 1
205 94 1
205 91 -1
206 35 1
206 40 1
206 104 1
206 92 -1
207 36 1
207 51 1
207 93 1
207 93 -1
208 37 1
208 42 1
208 91 1
208 94 -1
209 38 1
209 38 1
209 110 1
209 95 -1
210 39 1
210 54 1
210 96 1
210 96 -1
211 40 1
211 35 1
211 98 1
211 97 -1
212 41 1
212 47 1
212 97 1
212 98 -1
213 42 1
213 37 1
213 105 1
213 99 -1
214 43 1
214 49 1
214 102 1
214 100 -1
215 44 1
215 46 1
215 113 1
215 101 -1
216 45 1
216 55 1
216 100 1
216 102 -1
217 46 1
217 44 1
217 107 1
217 103 -1
218 47 1
218 41 1
218 92 1
218 104 -1
219 48 1
219 34 1
219 99 1
219 105 -1
220 49 1
220 43 1
220 112 1
220 106 -1
221 50 1
221 56 1
221 103 1
221 107 -1
222 51 1
222 36 1
222 108 1
222 108 -1
223 52 1
223 52 1
223 82 1
223 109 -1
224 53 1
224 53 1
224 95 1
224 110 -1
225 54 1
225 39 1
225 111 1
225 111 -1
226 55 1
226 45 1
226 106 1
226 112 -1
227 56 1
227 50 1
227 101 1
227 113 -1
228 0 -1
228 6 1
228 57 1
228 62 -1
228 114 1
228 119 1
229 1 -1
229 2 1
229 58 1
229 60 -1
229 115 1
229 117 1
230 3 -1
230 1 1
230 59 1
230 58 -1
230 117 1
230 115 1
231 2 -1
231 3 1
231 60 1
231 59 -1
231 116 1
231 116 1
232 14 -1
232 4 1
232 61 1
232 71 -1
232 128 1
232 128 1
233 6 -1
233 5 1
233 62 1
233 63 -1
233 120 1
233 120 1
234 5 -1
234 0 1
234 63 1
234 57 -1
234 119 1
234 114 1
235 13 -1
235 20 1
235 64 1
235 75 -1
235 127 1
235 132 1
236 8 -1
236 14 1
236 65 1
236 61 -1
236 122 1
236 118 1
237 9 -1
237 16 1
237 66 1
237 67 -1
237 123 1
237 124 1
238 16 -1
238 10 1
238 67 1
238 73 -1
238 130 1
238 130 1
239 17 -1
239 11 1
239 68 1
239 74 -1
239 131 1
239 131 1
240 24 -1
240 30 1
240 69 1
240 90 -1
240 138 1
240 147 1
241 7 -1
241 21 1
241 70 1
241 76 -1
241 121 1
241 133 1
242 4 -1
242 8 1
242 71 1
242 65 -1
242 118 1
242 122 1
243 15 -1
243 17 1
243 72 1
243 68 -1
243 129 1
243 125 1
244 10 -1
244 9 1
244 73 1
244 66 -1
244 124 1
244 123 1
245 11 -1
245 15 1
245 74 1
245 72 -1
245 125 1
245 129 1
246 20 -1
246 19 1
246 75 1
246 78 -1
246 134 1
246 135 1
247 21 -1
247 18 1
247 76 1
247 77 -1
247 135 1
247 134 1
248 18 -1
248 7 1
248 77 1
248 70 -1
248 132 1
248 127 1
249 19 -1
249 13 1
249 78 1
249 64 -1
249 133 1
249 121 1
250 23 -1
250 29 1
250 79 1
250 89 -1
250 137 1
250 146 1
251 22 -1
251 28 1
251 80 1
251 88 -1
251 136 1
251 145 1
252 12 -1
252 27 1
252 81 1
252 83 -1
252 126 1
252 140 1
253 25 -1
253 25 1
253 82 1
253 82 -1
253 139 1
253 139 1
254 27 -1
254 33 1
254 83 1
254 87 -1
254 141 1
254 144 1
255 26 -1
255 24 1
255 84 1
255 69 -1
255 140 1
255 126 1
256 31 -1
256 23 1
256 85 1
256 79 -1
256 145 1
256 136 1
257 32 -1
257 22 1
257 86 1
257 80 -1
257 146 1
257 137 1
258 33 -1
258 12 1
258 87 1
258 81 -1
258 147 1
258 138 1
259 28 -1
259 32 1
259 88 1
259 86 -1
259 142 1
259 143 1
260 29 -1
260 31 1
260 89 1
260 85 -1
260 143 1
260 142 1
261 30 -1
261 26 1
261 90 1
261 84 -1
261 144 1
261 141 1
262 48 -1
262 48 1
262 91 1
262 91 -1
262 162 1
262 148 1
263 40 -1
263 47 1
263 92 1
263 98 -1
263 154 1
263 155 1
264 51 -1
264 36 1
264 93 1
264 108 -1
264 165 1
264 165 1
265 42 -1
265 41 1
265 94 1
265 104 -1
265 156 1
265 161 1
266 38 -1
266 55 1
266 95 1
266 102 -1
266 152 1
266 159 1
267 54 -1
267 56 1
267 96 1
267 107 -1
267 168 1
267 164 1
268 35 -1
268 42 1
268 97 1
268 94 -1
268 149 1
268 151 1
269 47 -1
269 37 1
269 98 1
269 99 -1
269 161 1
269 156 1
270 37 -1
270 40 1
270 99 1
270 92 -1
270 151 1
270 149 1
271 49 -1
271 54 1
271 100 1
271 96 -1
271 163 1
271 153 1
272 46 -1
272 44 1
272 101 1
272 103 -1
272 160 1
272 160 1
273 55 -1
273 45 1
273 102 1
273 112 -1
273 169 1
273 169 1
274 44 -1
274 53 1
274 103 1
274 110 -1
274 158 1
274 167 1
275 41 -1
275 35 1
275 104 1
275 97 -1
275 155 1
275 154 1
276 34 -1
276 34 1
276 105 1
276 105 -1
276 148 1
276 162 1
277 43 -1
277 50 1
277 106 1
277 113 -1
277 157 1
277 170 1
278 56 -1
278 49 1
278 107 1
278 100 -1
278 170 1
278 157 1
279 36 -1
279 52 1
279 108 1
279 109 -1
279 150 1
279 166 1
280 52 -1
280 51 1
280 109 1
280 93 -1
280 166 1
280 150 1
281 53 -1
281 46 1
281 110 1
281 101 -1
281 167 1
281 158 1
282 39 -1
282 43 1
282 111 1
282 106 -1
282 153 1
282 163 1
283 45 -1
283 38 1
283 112 1
283 95 -1
283 159 1
283 152 1
284 50 -1
284 39 1
284 113 1
284 111 -1
284 164 1
284 168 1
285 57 1
285 62 -1
285 63 1
285 116 1
285 114 1
285 119 1
286 58 1
286 60 -1
286 59 1
286 120 1
286 115 1
286 117 1
287 59 1
287 58 -1
287 62 1
287 117 1
287 120 1
287 115 1
288 60 1
288 59 -1
288 57 1
288 114 1
288 119 1
288 116 1
289 61 1
289 71 -1
289 65 1
289 122 1
289 118 1
289 128 1
290 62 1
290 63 -1
290 58 1
290 115 1
290 117 1
290 120 1
291 63 1
291 57 -1
291 60 1
291 119 1
291 116 1
291 114 1
292 64 1
292 75 -1
292 77 1
292 131 1
292 127 1
292 132 1
293 65 1
293 61 -1
293 71 1
293 128 1
293 122 1
293 118 1
294 66 1
294 67 -1
294 74 1
294 134 1
294 129 1
294 124 1
295 67 1
295 73 -1
295 70 1
295 121 1
295 133 1
295 130 1
296 68 1
296 74 -1
296 64 1
296 127 1
296 132 1
296 131 1
297 69 1
297 90 -1
297 85 1
297 142 1
297 136 1
297 147 1
298 70 1
298 76 -1
298 78 1
298 130 1
298 121 1
298 133 1
299 71 1
299 65 -1
299 61 1
299 118 1
299 128 1
299 122 1
300 72 1
300 68 -1
300 73 1
300 135 1
300 123 1
300 125 1
301 73 1
301 66 -1
301 75 1
301 125 1
301 135 1
301 123 1
302 74 1
302 72 -1
302 76 1
302 124 1
302 134 1
302 129 1
303 75 1
303 78 -1
303 72 1
303 123 1
303 125 1
303 135 1
304 76 1
304 77 -1
304 66 1
304 129 1
304 124 1
304 134 1
305 77 1
305 70 -1
305 68 1
305 132 1
305 131 1
305 127 1
306 78 1
306 64 -1
306 67 1
306 133 1
306 130 1
306 121 1
307 79 1
307 89 -1
307 84 1
307 141 1
307 126 1
307 146 1
308 80 1
308 88 -1
308 87 1
308 143 1
308 138 1
308 145 1
309 81 1
309 83 -1
309 86 1
309 144 1
309 137 1
309 140 1
310 82 1
310 82 -1
310 108 1
310 150 1
310 166 1
310 139 1
311 83 1
311 87 -1
311 81 1
311 137 1
311 140 1
311 144 1
312 84 1
312 69 -1
312 90 1
312 146 1
312 141 1
312 126 1
313 85 1
313 79 -1
313 89 1
313 147 1
313 142 1
313 136 1
314 86 1
314 80 -1
314 83 1
314 140 1
314 144 1
314 137 1
315 87 1
315 81 -1
315 88 1
315 145 1
315 143 1
315 138 1
316 88 1
316 86 -1
316 80 1
316 138 1
316 145 1
316 143 1
317 89 1
317 85 -1
317 69 1
317 136 1
317 147 1
317 142 1
318 90 1
318 84 -1
318 79 1
318 126 1
318 146 1
318 141 1
319 91 1
319 91 -1
319 98 1
319 149 1
319 156 1
319 148 1
320 92 1
320 98 -1
320 92 1
320 155 1
320 155 1
320 155 1
321 93 1
321 108 -1
321 93 1
321 165 1
321 165 1
321 165 1
322 94 1
322 104 -1
322 105 1
322 151 1
322 162 1
322 161 1
323 95 1
323 102 -1
323 103 1
323 170 1
323 167 1
323 159 1
324 96 1
324 107 -1
324 113 1
324 160 1
324 168 1
324 164 1
325 97 1
325 94 -1
325 94 1
325 162 1
325 161 1
325 151 1
326 98 1
326 99 -1
326 99 1
326 148 1
326 149 1
326 156 1
327 99 1
327 92 -1
327 91 1
327 156 1
327 148 1
327 149 1
328 100 1
328 96 -1
328 102 1
328 163 1
328 169 1
328 153 1
329 101 1
329 103 -1
329 96 1
329 168 1
329 164 1
329 160 1
330 102 1
330 112 -1
330 111 1
330 153 1
330 163 1
330 169 1
331 103 1
331 110 -1
331 106 1
331 159 1
331 170 1
331 167 1
332 104 1
332 97 -1
332 104 1
332 154 1
332 154 1
332 154 1
333 105 1
333 105 -1
333 97 1
333 161 1
333 151 1
333 162 1
334 106 1
334 113 -1
334 95 1
334 167 1
334 159 1
334 170 1
335 107 1
335 100 -1
335 110 1
335 152 1
335 158 1
335 157 1
336 108 1
336 109 -1
336 109 1
336 139 1
336 150 1
336 166 1
337 109 1
337 93 -1
337 82 1
337 166 1
337 139 1
337 150 1
338 110 1
338 101 -1
338 112 1
338 157 1
338 152 1
338 158 1
339 111 1
339 106 -1
339 100 1
339 169 1
339 153 1
339 163 1
340 112 1
340 95 -1
340 107 1
340 158 1
340 157 1
340 152 1
341 113 1
341 111 -1
341 101 1
341 164 1
341 160 1
341 168 1
342 171 -1
342 171 -1
343 179 -1
343 172 -1
344 176 -1
344 173 -1
345 174 -1
345 174 -1
346 180 -1
346 175 -1
347 173 -1
347 176 -1
348 177 -1
348 177 -1
349 178 -1
349 178 -1
350 172 -1
350 179 -1
351 175 -1
351 180 -1
352 181 -1
352 181 -1
353 183 -1
353 182 -1
354 182 -1
354 183 -1
355 184 -1
355 184 -1
356 186 -1
356 185 -1
357 185 -1
357 186 -1
358 190 -1
358 187 -1
359 193 -1
359 188 -1
360 195 -1
360 189 -1
361 187 -1
361 190 -1
362 194 -1
362 191 -1
363 192 -1
363 192 -1
364 188 -1
364 193 -1
365 191 -1
365 194 -1
366 189 -1
366 195 -1
367 197 -1
367 196 -1
368 196 -1
368 197 -1
369 223 -1
369 198 -1
370 224 -1
370 199 -1
371 205 -1
371 200 -1
372 219 -1
372 201 -1
373 209 -1
373 202 -1
374 213 -1
374 203 -1
375 208 -1
375 204 -1
376 200 -1
376 205 -1
377 206 -1
377 206 -1
378 210 -1
378 207 -1
379 204 -1
379 208 -1
380 202 -1
380 209 -1
381 207 -1
381 210 -1
382 212 -1
382 211 -1
383 211 -1
383 212 -1
384 203 -1
384 213 -1
385 221 -1
385 214 -1
386 220 -1
386 215 -1
387 217 -1
387 216 -1
388 216 -1
388 217 -1
389 218 -1
389 218 -1
390 201 -1
390 219 -1
391 215 -1
391 220 -1
392 214 -1
392 221 -1
393 225 -1
393 222 -1
394 198 -1
394 223 -1
395 199 -1
395 224 -1
396 222 -1
396 225 -1
397 227 -1
397 226 -1
398 226 -1
398 227 -1
399 0 -1
399 57 1
399 57 1
399 171 -1
399 171 1
400 1 -1
400 58 1
400 65 1
400 172 -1
400 172 1
401 6 -1
401 63 1
401 62 1
401 173 -1
401 174 1
402 5 -1
402 62 1
402 60 1
402 174 -1
402 173 1
403 4 -1
403 61 1
403 66 1
403 175 -1
403 185 1
404 3 -1
404 60 1
404 59 1
404 176 -1
404 177 1
405 2 -1
405 59 1
405 63 1
405 177 -1
405 176 1
406 13 -1
406 70 1
406 64 1
406 178 -1
406 184 1
407 8 -1
407 65 1
407 58 1
407 179 -1
407 179 1
408 15 -1
408 72 1
408 61 1
408 180 -1
408 180 1
409 19 -1
409 76 1
409 67 1
409 181 -1
409 187 1
410 18 -1
410 75 1
410 69 1
410 182 -1
410 188 1
411 22 -1
411 79 1
411 68 1
411 183 -1
411 195 1
412 7 -1
412 64 1
412 70 1
412 184 -1
412 178 1
413 14 -1
413 71 1
413 72 1
413 185 -1
413 175 1
414 9 -1
414 66 1
414 71 1
414 186 -1
414 186 1
415 21 -1
415 78 1
415 76 1
415 187 -1
415 181 1
416 20 -1
416 77 1
416 79 1
416 188 -1
416 182 1
417 11 -1
417 68 1
417 81 1
417 189 -1
417 191 1
418 10 -1
418 67 1
418 73 1
418 190 -1
418 192 1
419 17 -1
419 74 1
419 80 1
419 191 -1
419 189 1
420 16 -1
420 73 1
420 78 1
420 192 -1
420 190 1
421 12 -1
421 69 1
421 74 1
421 193 -1
421 194 1
422 24 -1
422 81 1
422 77 1
422 194 -1
422 193 1
423 23 -1
423 80 1
423 75 1
423 195 -1
423 183 1
424 52 -1
424 109 1
424 83 1
424 196 -1
424 196 1
425 26 -1
425 83 1
425 82 1
425 197 -1
425 198 1
426 27 -1
426 84 1
426 109 1
426 198 -1
426 197 1
427 28 -1
427 85 1
427 110 1
427 199 -1
427 202 1
428 30 -1
428 87 1
428 91 1
428 200 -1
428 203 1
429 29 -1
429 86 1
429 105 1
429 201 -1
429 204 1
430 31 -1
430 88 1
430 95 1
430 202 -1
430 199 1
431 33 -1
431 90 1
431 99 1
431 203 -1
431 200 1
432 32 -1
432 89 1
432 94 1
432 204 -1
432 201 1
433 42 -1
433 99 1
433 86 1
433 205 -1
433 219 1
434 41 -1
434 98 1
434 92 1
434 206 -1
434 211 1
435 51 -1
435 108 1
435 96 1
435 207 -1
435 222 1
436 48 -1
436 105 1
436 90 1
436 208 -1
436 213 1
437 53 -1
437 110 1
437 88 1
437 209 -1
437 209 1
438 54 -1
438 111 1
438 93 1
438 210 -1
438 225 1
439 47 -1
439 104 1
439 98 1
439 211 -1
439 206 1
440 35 -1
440 92 1
440 97 1
440 212 -1
440 218 1
441 34 -1
441 91 1
441 89 1
441 213 -1
441 208 1
442 55 -1
442 112 1
442 107 1
442 214 -1
442 220 1
443 50 -1
443 107 1
443 106 1
443 215 -1
443 217 1
444 49 -1
444 106 1
444 103 1
444 216 -1
444 226 1
445 56 -1
445 113 1
445 102 1
445 217 -1
445 215 1
446 40 -1
446 97 1
446 104 1
446 218 -1
446 212 1
447 37 -1
447 94 1
447 87 1
447 219 -1
447 205 1
448 45 -1
448 102 1
448 101 1
448 220 -1
448 214 1
449 44 -1
449 101 1
449 100 1
449 221 -1
449 227 1
450 36 -1
450 93 1
450 111 1
450 222 -1
450 207 1
451 25 -1
451 82 1
451 84 1
451 223 -1
451 223 1
452 38 -1
452 95 1
452 85 1
452 224 -1
452 224 1
453 39 -1
453 96 1
453 108 1
453 225 -1
453 210 1
454 43 -1
454 100 1
454 113 1
454 226 -1
454 216 1
455 46 -1
455 103 1
455 112 1
455 227 -1
455 221 1
456 8 1
456 8 -1
456 58 -1
456 59 -1
456 57 -1
456 65 1
456 63 -1
456 71 1
456 115 -1
456 114 1
456 114 -1
456 122 -1
456 122 1
456 117 -1
456 116 -1
456 172 -1
456 171 1
456 179 -1
457 1 1
457 0 -1
457 57 -1
457 63 -1
457 58 -1
457 57 1
457 71 -1
457 63 1
457 114 -1
457 115 1
457 122 -1
457 115 -1
457 114 1
457 118 -1
457 128 -1
457 171 -1
457 172 1
457 172 -1
458 5 1
458 3 -1
458 63 -1
458 60 -1
458 63 -1
458 60 1
458 57 -1
458 57 1
458 116 -1
458 120 1
458 119 -1
458 119 -1
458 119 1
458 120 -1
458 114 -1
458 177 -1
458 173 1
458 173 -1
459 6 1
459 6 -1
459 60 -1
459 57 -1
459 62 -1
459 63 1
459 58 -1
459 60 1
459 119 -1
459 119 1
459 117 -1
459 120 -1
459 116 1
459 116 -1
459 115 -1
459 174 -1
459 174 1
459 174 -1
460 7 1
460 15 -1
460 61 -1
460 65 -1
460 61 -1
460 72 1
460 73 -1
460 73 1
460 118 -1
460 118 1
460 123 -1
460 121 -1
460 123 1
460 132 -1
460 135 -1
460 175 -1
460 175 1
460 178 -1
461 3 1
461 5 -1
461 62 -1
461 58 -1
461 60 -1
461 62 1
461 60 -1
461 58 1
461 117 -1
461 117 1
461 116 -1
461 117 -1
461 117 1
461 114 -1
461 119 -1
461 176 -1
461 176 1
461 177 -1
462 2 1
462 2 -1
462 59 -1
462 62 -1
462 59 -1
462 59 1
462 62 -1
462 62 1
462 120 -1
462 116 1
462 120 -1
462 116 -1
462 120 1
462 115 -1
462 117 -1
462 173 -1
462 177 1
462 176 -1
463 14 1
463 14 -1
463 66 -1
463 74 -1
463 70 -1
463 71 1
463 78 -1
463 61 1
463 129 -1
463 127 1
463 121 -1
463 128 -1
463 128 1
463 124 -1
463 130 -1
463 180 -1
463 178 1
463 175 -1
464 0 1
464 1 -1
464 65 -1
464 71 -1
464 65 -1
464 58 1
464 59 -1
464 59 1
464 122 -1
464 122 1
464 115 -1
464 114 -1
464 115 1
464 119 -1
464 120 -1
464 179 -1
464 179 1
464 171 -1
465 15 1
465 7 -1
465 64 -1
465 77 -1
465 72 -1
465 64 1
465 65 -1
465 77 1
465 127 -1
465 129 1
465 118 -1
465 129 -1
465 127 1
465 128 -1
465 122 -1
465 178 -1
465 180 1
465 180 -1
466 23 1
466 23 -1
466 68 -1
466 64 -1
466 76 -1
466 80 1
466 66 -1
466 87 1
466 132 -1
466 133 1
466 124 -1
466 137 -1
466 138 1
466 131 -1
466 129 -1
466 182 -1
466 181 1
466 183 -1
467 20 1
467 21 -1
467 67 -1
467 70 -1
467 75 -1
467 78 1
467 84 -1
467 67 1
467 133 -1
467 132 1
467 126 -1
467 134 -1
467 130 1
467 147 -1
467 141 -1
467 181 -1
467 182 1
467 182 -1
468 21 1
468 20 -1
468 69 -1
468 85 -1
468 79 -1
468 77 1
468 72 -1
468 68 1
468 136 -1
468 136 1
468 125 -1
468 135 -1
468 131 1
468 130 -1
468 123 -1
468 183 -1
468 183 1
468 181 -1
469 4 1
469 4 -1
469 72 -1
469 73 -1
469 64 -1
469 61 1
469 77 -1
469 65 1
469 123 -1
469 121 1
469 127 -1
469 118 -1
469 118 1
469 125 -1
469 131 -1
469 186 -1
469 184 1
469 185 -1
470 13 1
470 9 -1
470 71 -1
470 61 -1
470 71 -1
470 66 1
470 74 -1
470 74 1
470 128 -1
470 128 1
470 129 -1
470 127 -1
470 129 1
470 133 -1
470 134 -1
470 185 -1
470 185 1
470 184 -1
471 9 1
471 13 -1
471 70 -1
471 78 -1
471 66 -1
471 70 1
471 61 -1
471 78 1
471 121 -1
471 123 1
471 128 -1
471 123 -1
471 121 1
471 122 -1
471 118 -1
471 184 -1
471 186 1
471 186 -1
472 22 1
472 12 -1
472 77 -1
472 68 -1
472 78 -1
472 69 1
472 70 -1
472 85 1
472 131 -1
472 135 1
472 133 -1
472 136 -1
472 136 1
472 135 -1
472 121 -1
472 191 -1
472 187 1
472 195 -1
473 18 1
473 10 -1
473 78 -1
473 67 -1
473 77 -1
473 67 1
473 85 -1
473 70 1
473 130 -1
473 134 1
473 136 -1
473 132 -1
473 133 1
473 146 -1
473 142 -1
473 192 -1
473 188 1
473 188 -1
474 11 1
474 19 -1
474 76 -1
474 66 -1
474 68 -1
474 76 1
474 87 -1
474 66 1
474 124 -1
474 125 1
474 138 -1
474 125 -1
474 124 1
474 145 -1
474 143 -1
474 190 -1
474 189 1
474 191 -1
475 12 1
475 22 -1
475 75 -1
475 72 -1
475 67 -1
475 79 1
475 67 -1
475 84 1
475 125 -1
475 124 1
475 130 -1
475 126 -1
475 126 1
475 127 -1
475 133 -1
475 189 -1
475 190 1
475 194 -1
476 17 1
476 16 -1
476 73 -1
476 75 -1
476 74 -1
476 73 1
476 86 -1
476 75 1
476 135 -1
476 131 1
476 137 -1
476 131 -1
476 135 1
476 140 -1
476 144 -1
476 187 -1
476 191 1
476 189 -1
477 24 1
477 24 -1
477 74 -1
477 76 -1
477 73 -1
477 81 1
477 75 -1
477 86 1
477 134 -1
477 130 1
477 135 -1
477 138 -1
477 137 1
477 129 -1
477 125 -1
477 188 -1
477 192 1
477 193 -1
478 10 1
478 18 -1
478 79 -1
478 84 -1
478 69 -1
478 75 1
478 68 -1
478 72 1
478 126 -1
478 126 1
478 131 -1
478 124 -1
478 125 1
478 121 -1
478 132 -1
478 193 -1
478 193 1
478 192 -1
479 16 1
479 17 -1
479 81 -1
479 86 -1
479 81 -1
479 74 1
479 76 -1
479 76 1
479 137 -1
479 138 1
479 134 -1
479 130 -1
479 134 1
479 123 -1
479 124 -1
479 195 -1
479 194 1
479 190 -1
480 19 1
480 11 -1
480 80 -1
480 87 -1
480 80 -1
480 68 1
480 64 -1
480 64 1
480 138 -1
480 137 1
480 132 -1
480 133 -1
480 132 1
480 134 -1
480 127 -1
480 194 -1
480 195 1
480 187 -1
481 53 1
481 39 -1
481 93 -1
481 93 -1
481 109 -1
481 96 1
481 81 -1
481 113 1
481 165 -1
481 166 1
481 140 -1
481 167 -1
481 168 1
481 143 -1
481 137 -1
481 207 -1
481 196 1
481 209 -1
482 39 1
482 53 -1
482 88 -1
482 80 -1
482 83 -1
482 110 1
482 82 -1
482 112 1
482 145 -1
482 140 1
482 139 -1
482 153 -1
482 152 1
482 165 -1
482 166 -1
482 202 -1
482 197 1
482 210 -1
483 54 1
483 38 -1
483 85 -1
483 89 -1
483 84 -1
