w=XYYYY i=1 j=4 phi={"a": "abbcababbbabbbabbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCCCBaCCCCBCaCCCCBC", "b": "cbccccA", "c": "bcbccccAcbccccAbccccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -18, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=22
w=YXXXY i=3 j=2 phi={"a": "abbbabbcacacababb", "b": "ca", "c": "babb"} psi={"a": "aCBBBCaCBBBCCaCBBBCC", "b": "ccbbbcA", "c": "bccbbbcAccbbbcAcbbbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -14, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=18
w=YXXYY i=2 j=3 phi={"a": "abbbabbcacababbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCBBCaCCBBCCaCCBBCC", "b": "ccbbccA", "c": "bccbbccAccbbccAcbbccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -16, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=20
w=YXYXY i=2 j=3 phi={"a": "abbbabbcababbcababb", "b": "ca", "c": "babb"} psi={"a": "aCBCBCaCBCBCCaCBCBCC", "b": "ccbcbcA", "c": "bccbcbcAccbcbcAcbcbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -16, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=20
w=YXYYY i=1 j=4 phi={"a": "abbbabbcababbbabbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCCBCaCCCBCCaCCCBCC", "b": "ccbcccA", "c": "bccbcccAccbcccAcbcccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -18, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=22
w=YYXXY i=2 j=3 phi={"a": "abbbabbbabbcacababb", "b": "ca", "c": "babb"} psi={"a": "aCBBCCaCBBCCCaCBBCCC", "b": "cccbbcA", "c": "bcccbbcAcccbbcAccbbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -16, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=20
w=YYXYY i=1 j=4 phi={"a": "abbbabbbabbcababbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCBCCaCCBCCCaCCBCCC", "b": "cccbccA", "c": "bcccbccAcccbccAccbccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -18, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=22
w=YYYXY i=1 j=4 phi={"a": "abbbabbbabbbabbcababb", "b": "ca", "c": "babb"} psi={"a": "aCBCCCaCBCCCCaCBCCCC", "b": "ccccbcA", "c": "bccccbcAccccbcAcccbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -18, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=22
w=YYYYY i=0 j=5 phi={"a": "abbbabbbabbbabbbabbbabb", "b": "ca", "c": "babb"} psi={"a": "aCCCCCaCCCCCCaCCCCCC", "b": "ccccccA", "c": "bccccccAccccccAcccccA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -6, -20, 1], "M^k>0 at k": 3, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=24
w=XXXXXY i=5 j=1 phi={"a": "abbcacacacacababb", "b": "ca", "c": "babb"} psi={"a": "aCBBBBBaCBBBBBCaCBBBBBC", "b": "cbbbbbcA", "c": "bcbbbbbcAcbbbbbcAbbbbbcA"} CERTIFICATE OK {"automorphism": "explicit inverse verified", "charpoly": [1, -7, -13, 1], "M^k>0 at k": 2, "darts": 16, "V": 6, "E": 8, "chi(X)": -2, "components": 1, "valences": [2, 2, 2, 2, 4, 4], "gates": "abcABA", "f-corners": 4, "genus of S*_f(X)": 2} charpoly_closed_form=True |chi(1)|=18
