CANDIDATES AAttAATTAtAtaTT n=18 degrees=[3, 4, 5, 6, 8, 9, 10, 12, 15, 18, 25, 27]
DONE AAttAATTAtAtaTT | Z/3 r=2 k=3 b1=1 chars=1 monic=0 cert=False
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, -10, -13, 23, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 6, 5, 7, 7, -7, 0] delta=[1, -1, 0, 0, 1, 0, -1, 2, 2, -4, 3, -1, 4, -2, -1, 7, -2, -2, 12, -8, 7, -7, 4, 9, -4, 11, 11, -17, 8, 0, -4, 6, 9, 11, 4, -25, 9, 15, -15, 17, -14, -1, 5, -5, -2, 4, -5, 11, -22, -13, -6, 31, -32, 6, -8, -25, 13, -6, 10, 5, -33, 13, -29, -14, 15, -2, 22, -8, -7, -16, -1, 6, 10, -7, -1, -2, -1, -4, 12, 4, 13, -8, 0, -2, -6, 11, 5, -4, 8, 2, -3, 10, 5, -3, 2, 0, 0, 0, -1, 7, 0, -1, 4, -3, -2, 4, 0, -1, 2, 0, -1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, -5, -10, 15, 0, 0, 0, 0, 0, 0, 0, 2, 0, 5, 3, 6, 7, 7, 0, 0] delta=[1, -1, 1, -1, 4, -2, 4, 0, 1, 5, 4, 12, -8, 15, -4, 24, 13, 2, -3, 9, 51, -26, 18, 2, 23, -19, 15, 6, -37, 26, -22, -11, -53, 22, -45, -6, -27, -19, -80, 26, 12, -30, -69, 26, 22, -37, 26, -12, 21, -13, 49, -14, 2, 20, 21, 3, 6, 7, 13, 3, 13, 0, -4, 10, 2, 3, -6, 5, 1, 0, -1, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, -24, -20, 44, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 6, 5, 7, 14, -14, 0] delta=[1, -1, 0, 0, 1, 0, -1, 2, -2, 0, 1, -1, 1, -1, -1, 5, -4, 2, 0, 2, 0, -2, 8, -9, 5, 2, -7, 4, -2, -6, 13, -9, 10, 0, -4, 2, -3, 14, -13, 16, -7, -7, 1, 4, -17, 20, -9, 9, 6, -16, 22, -23, 20, -10, 19, -20, 3, -16, 21, -18, 19, -6, -9, 18, -24, 50, -52, 39, -34, 25, -34, 25, -33, 22, -7, -11, 34, -27, 36, -48, 62, -43, 58, -77, 30, -43, 44, -40, 18, -5, -60, 87, -40, 82, -83, 46, -29, 59, -78, 43, -37, 6, -12, 2, 9, -61, 71, -58, 109, -67, 38, -43, 41, -47, 47, -26, -13, 3, -42, 63, -39, 44, -63, 68, -35, 36, -43, 25, -16, 21, -28, 13, 2, -39, 46, -14, 36, -40, 19, -15, 14, -11, 11, -5, 3, -11, 2, 10, -15, 13, -10, 22, -8, -1, -3, 9, -8, 4, -5, 3, -5, 3, 6, -3, 5, -6, 3, 2, -3, 4, 1, -5, 4, -3, 1, -2, 3, -1, 2, 1, -2, -3, 5, -1, -1, 0, 3, -2, -2, 2, 1, -2, 1, 1, -1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, -19, -17, 36, 0, 0, 0, 0, 0, 0, 0, 2, 0, 5, 3, 6, 7, 14, -7, 0] delta=[1, -1, 1, -1, 0, 0, 1, 1, -2, 0, 0, 4, -1, 2, -4, -1, 2, 2, 6, -4, -5, 2, 5, 10, -5, -8, -3, 9, -2, 14, 1, -16, 3, 7, 20, -14, -15, 3, 11, 7, 3, 0, -19, 7, 18, 8, -20, -14, 8, 5, 29, -3, -35, -6, 15, 18, -7, -22, -12, 22, 15, 5, -4, -40, 0, 30, 1, -26, -19, -4, 22, 58, -42, -51, 8, 15, 27, -9, -17, -35, 5, 31, 36, -29, -69, 6, 45, 17, -20, -4, -23, 18, 32, -4, -42, -7, -3, 23, 15, -3, -31, 2, 22, 28, -15, -39, 15, 6, 10, 3, 1, -19, -3, 18, 16, -17, -7, -1, 14, 9, -4, -7, -5, 13, 3, 0, -5, 1, 0, 4, 6, -5, -2, -3, 8, 1, -4, 3, -2, 1, 2, -1, 3, -6, 4, 1, -1, 0, -1, 2, -1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, -9, -11, 20, 0, 0, 0, 0, 0, 0, 0, -2, 0, 9, -3, 8, 7, 14, 7, 0] delta=[1, -1, 3, 1, -1, 9, -4, 6, 5, 0, 11, -2, 20, 1, 13, 17, -11, 38, -16, 7, 30, -4, 11, -6, 45, -29, -21, 47, -53, 10, -28, -24, 21, -80, 1, 19, -56, -10, -23, 5, -33, -74, 57, -40, -45, 55, -31, 37, -41, 33, 39, -46, 45, -3, 4, 15, 10, 15, 4, -2, 27, -4, 0, 11, -2, 12, -8, 9, 2, -6, 8, -2, 1, 1, -1, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 31, -1, -30, 0, 0, 0, 0, 0, 0, 0, 10, 0, 4, 15, 9, 14, -14, 7, 0] delta=[-1, 1, 0, -2, 1, 1, -1, 0, -3, 6, -3, -7, 9, -2, -4, 4, -6, 6, -5, -4, 11, -12, 3, 10, -16, -1, 11, -5, -2, -3, 4, 8, -23, -5, 24, -8, -4, -4, 6, 10, -24, -2, 19, -11, 10, -17, -3, 17, -10, 4, 5, -20, 33, -18, -49, 52, 16, -13, -18, -7, 58, -31, -66, 74, 25, -43, -13, 20, 16, -18, -17, 27, 17, -10, 3, -18, 16, 21, -1, -19, -25, 66, 19, -73, 30, 69, -37, -38, -21, 60, 33, -70, -15, 94, -44, -36, -5, 23, 19, -19, -32, 23, 9, 4, -31, 5, 20, 12, -31, -24, 29, 35, -35, -21, 26, 14, -25, -10, 12, 19, -9, -20, 5, 9, -6, -7, 5, 5, -5, 0, -4, 0, 2, 1, -1, -2, 1, 0, -1, -1, 1, 1, -2, 0, 0, -1, 0, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 22, -5, -17, 0, 0, 0, 0, 0, 0, 0, 8, 0, 6, 12, 10, 14, -7, 7, 0] delta=[-1, -1, 1, 1, 0, -4, -5, 4, 4, -1, -4, -5, 4, 3, -7, -4, 7, 5, -2, -19, -18, 21, 15, -6, -26, -21, 34, 11, -20, -20, 1, 34, -4, -42, -12, 48, 15, -25, -61, -10, 108, 1, -52, -44, 0, 91, -14, -57, 22, 45, 3, -42, -61, 62, 119, -37, -74, -57, 72, 120, -51, -67, 12, 65, 13, -43, -17, 65, 66, -80, -42, -9, 93, 47, -92, -54, 3, 70, 15, -48, -20, 21, 19, -24, -14, 3, 39, -6, -45, -11, 7, 38, -4, -33, -10, 12, 18, -9, -14, -8, 6, 3, -5, 0, -4, 7, 0, -7, 0, 0, 4, 0, -4, 0, -1, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 27, -2, -25, 0, 0, 0, 0, 0, 0, 0, 6, 0, 8, 9, 11, 14, -7, 14, 0] delta=[-1, 1, 0, 0, 0, 0, -3, 3, -1, -3, 4, 2, -5, 3, -2, -10, 12, 3, -11, 9, -2, -13, 12, -1, -16, 22, -2, -17, 14, -14, -13, 32, -11, -13, 24, -19, -20, 47, -43, -6, 46, -28, -15, 46, -55, -10, 71, -60, 2, 58, -70, 6, 56, -83, 25, 64, -64, 20, 66, -140, 62, 52, -86, 60, 46, -105, 59, 37, -141, 95, 49, -79, 85, -18, -119, 92, 20, -82, 113, -1, -94, 122, -46, -106, 125, -19, -44, 124, -52, -91, 103, -31, -51, 133, -80, -34, 103, -76, -24, 54, -50, 15, 108, -95, -25, 52, -66, 29, 42, -63, 19, 45, -50, 4, 21, -47, 40, 20, -46, 17, -12, -18, 29, 6, -17, 16, -4, -24, 23, -20, -9, 17, -2, 6, 4, -10, -7, 8, -8, 2, 2, -7, 10, -4, -2, -1, 3, -2, 3, -2, -3, 1, -1, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 3, -15, 12, 0, 0, 0, 0, 0, 0, 0, 10, 0, 4, 15, 9, 14, 0, -7, 0] delta=[-1, 1, -1, 1, 0, 0, -4, 2, -2, 1, 0, 1, -5, -3, 0, -2, -3, -1, 3, -11, 1, 0, -9, -14, 6, -6, 4, -6, 0, -25, 0, -3, 18, -28, 1, 5, -9, 9, -10, -2, -25, 50, -8, 22, -57, 37, -15, 51, 5, 11, -38, 39, -4, 38, -18, 22, 4, 53, -21, -2, -19, 19, 30, 30, 9, -55, 13, -8, 42, -26, 21, -29, 3, -9, 20, -37, 9, -9, 10, -7, -8, -14, 0, -7, 9, -11, -6, -3, -6, 6, -10, 0, -3, 4, -7, 4, -8, 5, -5, 5, -2, -1, -2, 2, -1, 1, -1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, -11, -22, 33, 0, 0, 0, 0, 0, 0, 0, 10, 0, 4, 15, 9, 14, 7, -14, 0] delta=[1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 4, -2, -2, 1, 1, 1, -3, 0, 2, 2, 1, -5, 0, 8, 2, -9, 3, 6, 8, -12, -6, 9, 0, 4, -11, 4, 11, 6, -18, 4, 11, 18, -14, -22, 17, 11, -6, -12, 12, 13, -4, -23, 7, 10, 20, -15, -21, 19, 24, -27, -8, 19, 8, 6, -36, 13, 19, -11, -24, -1, 33, 1, -32, -5, 19, 8, 4, -37, 21, 45, -63, -12, 17, 26, -14, -39, 1, 32, -3, -48, 6, 36, 30, -44, -25, 25, 15, -8, -47, 20, 48, -39, -56, 16, 48, 12, -26, -48, 47, 12, -30, -7, 19, 36, -23, -36, 8, 29, 7, -39, -12, 35, 11, -36, 4, 9, 34, -12, -21, 7, 21, -12, -14, -1, 24, 3, -19, -11, 22, 12, -12, -12, 11, 15, -8, -11, 5, 12, 0, -5, 0, 7, -2, -2, -3, 5, 2, 1, -8, 5, 2, 4, -5, 2, 0, 1, -4, 2, 1, 1, -1, 1, 0, 0, 0, 1, 0, -1]
