# Raw outputs, 2026-09-17. Heuristic search: False/FAIL means budget or pruning failure, never a proof.

## python3 mcensus.py 2 1 1500 cohn
FAIL (3, -3) (-1, -2) (4, 119)
FAIL (3, -3) (-2, -1) (4, 144)
FAIL (3, -3) (-2, -2) (6, 172)
FAIL (3, -3) (-2, -3) (4, 79)
FAIL (3, -3) (-3, 1) (4, 91)
FAIL (3, -3) (-3, -2) (6, 99)
FAIL (3, -2) (1, -3) (4, 100)
FAIL (3, -2) (1, 3) (4, 256)
FAIL (3, -2) (2, 1) (4, 100)
FAIL (3, -2) (2, 2) (4, 79)
FAIL (3, -2) (2, 3) (6, 183)
FAIL (3, -2) (3, 1) (4, 169)
FAIL (3, -2) (3, 2) (4, 106)
FAIL (3, -2) (3, 3) (6, 99)
FAIL (3, -2) (-1, 3) (4, 100)
FAIL (3, -2) (-1, -3) (4, 256)
FAIL (3, -2) (-2, -1) (4, 100)
FAIL (3, -2) (-2, -2) (4, 79)
FAIL (3, -2) (-2, -3) (6, 183)
FAIL (3, -2) (-3, -1) (4, 169)
FAIL (3, -2) (-3, -2) (4, 106)
FAIL (3, -2) (-3, -3) (6, 99)
FAIL (3, -1) (1, -3) (4, 144)
FAIL (3, -1) (1, -2) (4, 64)
FAIL (3, -1) (1, 2) (4, 121)
FAIL (3, -1) (1, 3) (4, 90)
FAIL (3, -1) (2, -3) (4, 121)
FAIL (3, -1) (2, 1) (4, 64)
FAIL (3, -1) (2, 2) (4, 45)
FAIL (3, -1) (2, 3) (4, 225)
FAIL (3, -1) (3, -3) (4, 91)
FAIL (3, -1) (3, 1) (4, 91)
FAIL (3, -1) (3, 2) (4, 169)
FAIL (3, -1) (-1, 3) (4, 144)
FAIL (3, -1) (-1, 2) (4, 64)
FAIL (3, -1) (-1, -2) (4, 121)
FAIL (3, -1) (-1, -3) (4, 90)
FAIL (3, -1) (-2, 3) (4, 121)
FAIL (3, -1) (-2, -1) (4, 64)
FAIL (3, -1) (-2, -2) (4, 45)
FAIL (3, -1) (-2, -3) (4, 225)
FAIL (3, -1) (-3, 3) (4, 91)
FAIL (3, -1) (-3, -1) (4, 91)
FAIL (3, -1) (-3, -2) (4, 169)
FAIL (3, 1) (1, -3) (4, 90)
FAIL (3, 1) (1, -2) (4, 121)
FAIL (3, 1) (1, 2) (4, 64)
FAIL (3, 1) (1, 3) (4, 144)
FAIL (3, 1) (2, -3) (4, 225)
