# run_id	reserved_at_utc	lean_path	declaration_anchor
32226334352	2026-08-19T07:09:39Z	GroupApproximation/Sofic/AmalgamQuestionEndpoint.lean	manuscriptQuestionOne_negative_of_blockAmalgam
32230075273	2026-08-19T08:26:46Z	GroupApproximation/Sofic/LiteralNonMFEndpoint.lean	literal_mark_mem_manuscriptCoronaMFResidual
32234990209	2026-08-19T09:35:24Z	GroupApproximation/Sofic/ScalingFamilyEndpoint.lean	scaling_mark_mem_manuscriptCoronaMFResidual
32239674815	2026-08-19T09:56:22Z	GroupApproximation/Sofic/TraceSeparationEndpoint.lean	manuscriptTraceSeparation
32244393580	2026-08-19T10:48:20Z	GroupApproximation/Endpoint/ManuscriptStatements.lean	theoremA_exact
32248905000	2026-08-19T11:42:48Z	GroupApproximation/Sofic/CoronaImageNormalKazhdan.lean	manuscriptNormalKazhdanObstructionViaCoronaImage
32250579092	2026-08-19T12:02:51Z	GroupApproximation/Sofic/FiniteNormalAnyUniverse.lean	manuscriptFiniteNormalObstructionCriterion_anyUniverse
32256667129	2026-08-19T13:11:49Z	GroupApproximation/Sofic/LiteralFiniteDimensionalObstruction.lean	manuscriptFiniteDimensionalConsequences
32261291671	2026-08-19T13:59:40Z	GroupApproximation/Sofic/ManuscriptExactWrappers.lean	manuscriptCliffordConstruction
32264888363	2026-08-19T14:35:44Z	GroupApproximation/Sofic/ManuscriptExactWrappers.lean	manuscriptAbstractNormalKazhdanObstruction
32266795599	2026-08-19T14:54:46Z	GroupApproximation/Sofic/NormalKazhdanAnyUniverse.lean	manuscriptNormalKazhdanObstruction_anyUniverse
32272130576	2026-08-19T15:47:47Z	GroupApproximation/Analysis/MaximalCStarParagraphEndpoint.lean	manuscriptMaximalCStarStrictCompressionRemark
32277955046	2026-08-19T16:48:20Z	GroupApproximation/Algebra/ZariskiEnvelopeEndpoint.lean	manuscriptZariskiChainCondition
32283144135	2026-08-19T17:42:54Z	GroupApproximation/Sofic/CollapseUniverseScope.lean	manuscriptInvolutiveCollapse
32284907547	2026-08-19T18:01:14Z	GroupApproximation/Sofic/LiteralWitnessConsequences.lean	literalWitness_reducedGroupCStar_stablyFinite_nonMF
32290035540	2026-08-19T18:55:14Z	GroupApproximation/Analysis/CStarMinTensorInjective.lean	minTensorInclusion_injective
32294438304	2026-08-19T19:43:20Z	GroupApproximation/Analysis/ExactnessPermanence.lean	hasPropertyA_of_isLocallyFiniteGroup
32296195491	2026-08-19T20:01:28Z	GroupApproximation/Sofic/QuestionTwoReduction.lean	obstruction_vacuous_at_bot
32300390559	2026-08-19T20:47:22Z	GroupApproximation/Analysis/CStarSliceBound.lean	norm_gnsRep_sliceRight_le
32302643141	2026-08-19T21:28:18Z	GroupApproximation/Analysis/CStarMinTensorQuotient.lean	IsExactCStar
32305256865	2026-08-19T21:43:16Z	GroupApproximation/Analysis/CStarExactnessSliceReduction.lean	sliceLeftMin_mem_of_quotientMinTensorMap_eq_zero
32306852170	2026-08-19T22:02:29Z	GroupApproximation/Analysis/CStarSliceCompletion.lean	sliceRightMin
32310137867	2026-08-19T23:13:49Z	GroupApproximation/Analysis/CStarSliceLeft.lean	sliceLeftMin
32311584466	2026-08-19T23:18:31Z	GroupApproximation/Manuscript/NonMF/QuestionOneOpenness.lean	exists_reductionQuotient_with_all_three_configurations
32314137264	2026-08-19T23:39:35Z	GroupApproximation/Endpoint/NonMFImpact.lean	cyclicBase_exactModel_obstruction
32315579062	2026-08-20T00:00:53Z	GroupApproximation/PropertyTT/PaperStatements.lean	freeCharacteristicTwo_root_hasRelativeTT
32322608025	2026-08-20T01:53:23Z	GroupApproximation/Sofic/ActualCoronaMFRadical.lean	manuscriptCoronaMFInvisible_iff_actualCoronaMFInvisible
32327321101	2026-08-20T03:11:40Z	GroupApproximation/Sofic/BlockCliffordTowerSofic.lean	manuscriptResiduallyFiniteWindow
32330230435	2026-08-20T04:00:24Z	GroupApproximation/Sofic/CentralSignAnyUniverse.lean	manuscriptCentralSignCriterion_anyUniverse
32333625928	2026-08-20T05:04:43Z	GroupApproximation/Sofic/CliffordBSAmenableMF.lean	manuscriptSharpnessOfKazhdanHypothesis
32336969594	2026-08-20T05:48:14Z	GroupApproximation/Sofic/CliffordBSPrintedRoute.lean	manuscriptSharpnessPrintedRoute
32342562289	2026-08-20T07:10:16Z	GroupApproximation/Sofic/CliffordBSSixRelator.lean	manuscriptSixRelatorSameGroup
32346473982	2026-08-20T07:59:39Z	GroupApproximation/Analysis/GuentnerKaminkerEndpoint.lean	isRoeGramApproximable
32351417722	2026-08-20T09:05:22Z	GroupApproximation/Analysis/GuentnerKaminker.lean	hasPropertyA_of_compressionExceeds_half
32355976469	2026-08-20T09:51:31Z	GroupApproximation/Analysis/RoeSquareRoot.lean	exists_sqrt_mem
32360761306	2026-08-20T10:49:32Z	GroupApproximation/Sofic/CliffordQuotientMFUnconditional.lean	manuscriptSharpnessConclusionUnconditional
32365308576	2026-08-20T11:45:22Z	GroupApproximation/Sofic/CollapsePrintedCorollary.lean	manuscriptInvolutiveCollapse_printed
32367917189	2026-08-20T12:16:07Z	GroupApproximation/Sofic/ConjugationDatumAnyUniverse.lean	manuscriptMarkedKazhdanPattern_anyUniverse
32373262584	2026-08-20T13:16:16Z	GroupApproximation/Sofic/ContinuumFamilyCriterion.lean	manuscriptContinuumMultiplicity_of_separating
32377838322	2026-08-20T14:04:00Z	GroupApproximation/Sofic/ContinuumMultiplicity.lean	manuscriptContinuumMultiplicity
32383135153	2026-08-20T14:56:50Z	GroupApproximation/Sofic/LiteralSignFreeRadicalReduction.lean	manuscriptSignFreeRadicalReduction
32388472542	2026-08-20T15:50:34Z	GroupApproximation/Manuscript/NonMF/QuestionTwoRemainder.lean	manuscriptQuestionTwoGroupTheoreticRemainder
32394426855	2026-08-20T16:52:55Z	GroupApproximation/Sofic/DefectRadicalAnyUniverse.lean	manuscriptCompressionRadical_anyUniverse
32399521990	2026-08-20T17:47:36Z	GroupApproximation/Sofic/FaithfullyTracedCoordinateNoGo.lean	manuscriptFaithfullyTracedCoordinateNoGo
32406374171	2026-08-20T19:01:44Z	GroupApproximation/Sofic/FiveConditionInsufficiency.lean	manuscriptExistsSubsingletonQuotient
32410556685	2026-08-20T19:47:52Z	GroupApproximation/Sofic/IntertwinerKazhdanTransport.lean	manuscriptIntertwinerTransport
32416035537	2026-08-20T20:48:36Z	GroupApproximation/Sofic/InvolutionsAnyBase.lean	manuscriptFFRealizationTorsion
32420947283	2026-08-20T21:45:27Z	GroupApproximation/Sofic/KazhdanSignCriterion.lean	manuscriptCentralSignCriterion
32422862482	2026-08-20T22:08:55Z	GroupApproximation/Sofic/KazhdanTransportAnyUniverse.lean	manuscriptKazhdanTransport_anyUniverse
32425775692	2026-08-20T22:49:14Z	GroupApproximation/Sofic/LiteralBaseP13PropertyTBridge.lean	manuscriptBaseHasKazhdanPropertyT
32427584639	2026-08-20T23:11:55Z	GroupApproximation/Sofic/LiteralBlockNormalForm.lean	manuscriptFiniteLevelSiteOrbit
32429732002	2026-08-20T23:42:47Z	GroupApproximation/Sofic/LiteralMFQuotientControls.lean	manuscriptQuotientNonclosure
32430987825	2026-08-21T00:01:16Z	GroupApproximation/Sofic/LiteralNonMFPresentation.lean	manuscriptLiteralPresentation
32438188082	2026-08-21T01:59:17Z	GroupApproximation/Sofic/LiteralP13HodgeCertificate.lean	manuscriptP13Presentation
32442865368	2026-08-21T03:18:03Z	GroupApproximation/Sofic/LiteralProductMultiplicity.lean	manuscriptInfiniteMultiplicity_literal
32446805650	2026-08-21T04:24:35Z	GroupApproximation/Sofic/LiteralSoficSeparation.lean	markedGroup_mark_mem_manuscriptCoronaMFResidual_and_ne_one
32449984808	2026-08-21T05:17:46Z	GroupApproximation/Sofic/LiteralTheoremAPackage.lean	manuscriptTheoremA_package
32453798078	2026-08-21T06:18:00Z	GroupApproximation/Sofic/LiteralUniversalHorn.lean	manuscriptLiteralUniversalHorn
32458869986	2026-08-21T07:37:19Z	GroupApproximation/Sofic/MFRelationClosure.lean	manuscriptRelationClosure
32462699566	2026-08-21T08:20:43Z	GroupApproximation/Sofic/ManuscriptCentralSignCriterion.lean	cs_01_negative_corner
32467375260	2026-08-21T09:20:34Z	GroupApproximation/Sofic/ManuscriptClosedWrappers.lean	manuscriptProperIsometryNotUnit
32471602607	2026-08-21T10:13:37Z	GroupApproximation/Sofic/ManuscriptKazhdanTransport.lean	manuscriptKazhdanTransport_ultraproduct
32474456188	2026-08-21T10:51:07Z	GroupApproximation/Sofic/OmegaRouteManuscriptTransport.lean	tendsto_iff_sqrt_le
32478542595	2026-08-21T11:44:30Z	GroupApproximation/Sofic/PrintedCentralSignCriterion.lean	manuscriptCentralSignCriterionPrinted
32480965080	2026-08-21T12:15:20Z	GroupApproximation/Sofic/PrintedPreliminaryEstimates.lean	manuscriptPolarCorrectionEstimate
32485850477	2026-08-21T13:26:35Z	GroupApproximation/Sofic/PrintedReverseTransportRoute.lean	manuscriptKazhdanTransportStar
32489919875	2026-08-21T14:04:12Z	GroupApproximation/Sofic/ProductMultiplicity.lean	manuscriptInfiniteMultiplicity
32499703574	2026-08-21T15:50:22Z	GroupApproximation/Sofic/ProductMultiplicityRank.lean	manuscriptInfiniteMultiplicityRank
32505241187	2026-08-21T16:53:47Z	GroupApproximation/Sofic/ScaledKazhdanTransport.lean	manuscriptDimensionWeightRecovery
32509932461	2026-08-21T17:47:33Z	GroupApproximation/Sofic/ScalingFamilyRelatorCount.lean	manuscriptScalingFamilyPresentationCounts
32512468170	2026-08-21T18:17:36Z	GroupApproximation/Sofic/SimpleSoficEnvelopeUnconditional.lean	manuscript_simpleSoficEnvelope
32516350399	2026-08-21T19:02:26Z	GroupApproximation/Sofic/SoficByAmenablePermanence.lean	manuscriptSoficOfSoficKerOfAmenableQuotient
32519535728	2026-08-21T19:39:34Z	GroupApproximation/Sofic/SoficEnvelopeWitness.lean	manuscript_simpleSoficEnvelope
32521261021	2026-08-21T19:59:52Z	GroupApproximation/Sofic/StableLetterLEFRoute.lean	manuscriptEsoficPrintedRoute
32524953486	2026-08-21T20:43:22Z	GroupApproximation/Sofic/TensorPowerAnyUniverse.lean	manuscriptFixedTensorTransport_anyUniverse
32526608913	2026-08-21T21:03:32Z	GroupApproximation/Sofic/TensorPowerTransport.lean	manuscriptFixedTensorTransport
32529658946	2026-08-21T21:42:41Z	GroupApproximation/Sofic/TransportVariantsAnyUniverse.lean	manuscriptIntertwinerTransport_anyUniverse
32531136907	2026-08-21T22:01:46Z	GroupApproximation/Sofic/UltraproductIntertwinerTransport.lean	manuscriptUltraproductIntertwinerTransport
32534117552	2026-08-21T22:43:51Z	GroupApproximation/Sofic/UltraproductKazhdanProjection.lean	manuscript_eigenvalue_le_of_ne_one
32535394688	2026-08-21T23:03:04Z	GroupApproximation/Sofic/ChosenNonMFEndpoint.lean	lamp_commutes_vertex_generator
32537741206	2026-08-21T23:41:37Z	GroupApproximation/Sofic/CollapseTransportEndpoint.lean	le_of_sq_le_sq
32538907410	2026-08-22T00:01:22Z	GroupApproximation/Sofic/FullMFRadicalEndpoint.lean	exists_twoGenerated_finitelyPresented_torsionFree_kazhdan_fullMFRadical
32544646647	2026-08-22T01:52:27Z	GroupApproximation/Sofic/HullSuitabilityGeometry.lean	IsGeodesicSegment.dist_endpoints
32548163064	2026-08-22T03:09:11Z	GroupApproximation/Sofic/InvolutionCollapseEndpoint.lean	flatE_unflatE
32550397301	2026-08-22T03:58:17Z	GroupApproximation/Sofic/InvolutionCollapseEndpoint.lean	stage_transport_bound
32552798000	2026-08-22T04:57:38Z	GroupApproximation/Sofic/InvolutionCollapseEndpointPrep.lean	eventually_bVec_eq_zero_of_orbit_fixed
32555103056	2026-08-22T05:45:25Z	GroupApproximation/Sofic/LiteralSoficEndpoint.lean	splitHom_injective
32555918181	2026-08-22T06:03:25Z	GroupApproximation/Sofic/MFNonsoficDoubleEndpoint.lean	not_isSofic_freeLamp_of_centralizerNormalization
32558459053	2026-08-22T07:03:33Z	GroupApproximation/Sofic/SplitExtensionEndpoint.lean	not_isOperatorMF_wreath
32560537328	2026-08-22T07:48:38Z	GroupApproximation/Sofic/TorsionFreeNonMFEndpoint.lean	not_routingLemmaData_of_subsingleton_partner
32563272771	2026-08-22T08:49:27Z	GroupApproximation/KOne/PaperStatements.lean	diagUnit_mem_elementary
32565719003	2026-08-22T09:44:20Z	GroupApproximation/Criterion/ChainConditionCompression.lean	manuscriptChainConditionRigidity
32566525966	2026-08-22T10:02:15Z	GroupApproximation/Criterion/TensorInvariantRigidity.lean	manuscriptTensorInvariantRigidity
32568303624	2026-08-22T10:42:49Z	GroupApproximation/Endpoint/MainResults.lean	binaryLeavitt_finiteField_profile
32569111524	2026-08-22T11:00:55Z	GroupApproximation/Endpoint/Public.lean	for
32570739041	2026-08-22T11:36:59Z	GroupApproximation/Endpoint/QuotientNonclosure.lean	exists_residuallyFinite_group_with_nonsofic_quotient
32571752398	2026-08-22T11:59:47Z	GroupApproximation/Endpoint/SimultaneousStability.lean	simultaneousStabilitySeed_not_isMixedApproximable
32574624728	2026-08-22T13:02:51Z	GroupApproximation/Endpoint/StructuralProfile.lean	rankFour_exists_third_index
32576684394	2026-08-22T13:45:43Z	GroupApproximation/Analysis/FiniteBlockCoronaHilbert.lean	manuscript_blockFamily_finite
